judge,dimension,ratings,residual_points_per_position_slope,max_minus_min_position_mean
MiniMax-M3,affective_warmth,2148,0.015203511572226533,0.17597765363128492
MiniMax-M3,autonomy_support,2148,-0.0035913806863529067,0.17458100558659223
MiniMax-M3,cognitive_load,2148,0.023264166001596163,0.14664804469273746
MiniMax-M3,diagnostic_specificity,2148,0.028651237031125362,0.19273743016759776
MiniMax-M3,elicitation,2148,-0.005506783719074189,0.20949720670391064
MiniMax-M3,epistemic_caution,2148,0.009297685554668733,0.11871508379888268
MiniMax-M3,help_directness,2148,-0.004588986432561798,0.1229050279329609
MiniMax-M3,personalization,2148,0.019832402234636674,0.138268156424581
deepseek-v4-pro,affective_warmth,2148,0.04345570630486831,0.24720670391061453
deepseek-v4-pro,autonomy_support,2148,0.012729449321628023,0.11592178770949713
deepseek-v4-pro,cognitive_load,2148,-0.0035115722266562998,0.10754189944134077
deepseek-v4-pro,diagnostic_specificity,2148,0.017837190742218657,0.12011173184357542
deepseek-v4-pro,elicitation,2148,-0.008739026336791593,0.06284916201117319
deepseek-v4-pro,epistemic_caution,2148,0.010095770151635994,0.06284916201117316
deepseek-v4-pro,help_directness,2148,-0.0033918595371108776,0.07262569832402235
deepseek-v4-pro,personalization,2148,7.980845969659838e-05,0.06284916201117319
glm-5.2,affective_warmth,2148,0.004788507581803676,0.03212290502793296
glm-5.2,autonomy_support,2148,0.0017956903431764297,0.03910614525139664
glm-5.2,cognitive_load,2148,0.01839584996009573,0.12011173184357542
glm-5.2,diagnostic_specificity,2148,0.0044293695131685466,0.09357541899441342
glm-5.2,elicitation,2148,0.006903431763766935,0.07122905027932962
glm-5.2,epistemic_caution,2148,0.00630486831604162,0.09078212290502793
glm-5.2,help_directness,2148,0.012849162011173079,0.08100558659217877
glm-5.2,personalization,2148,-0.006504389465283212,0.07262569832402235
