judge,dimension,context_batches,own_minus_other_residual,ci_low,ci_high
MiniMax-M3,affective_warmth,358,0.04259776536312849,-0.004539106145251397,0.0869413407821229
MiniMax-M3,autonomy_support,358,-0.03596368715083799,-0.09288582402234638,0.024441340782122904
MiniMax-M3,cognitive_load,358,-0.03282122905027933,-0.07751396648044692,0.011522346368715084
MiniMax-M3,diagnostic_specificity,358,0.11766759776536313,0.05934881284916201,0.17493016759776536
MiniMax-M3,elicitation,358,-0.04085195530726257,-0.09078212290502793,0.005595321229050232
MiniMax-M3,epistemic_caution,358,0.021997206703910616,-0.021307611731843572,0.06389664804469274
MiniMax-M3,help_directness,358,0.005935754189944134,-0.03875698324022346,0.052374301675977654
MiniMax-M3,personalization,358,0.037011173184357544,-0.007681564245810056,0.08031599162011169
deepseek-v4-pro,affective_warmth,358,-0.20810055865921787,-0.28857541899441347,-0.13128491620111732
deepseek-v4-pro,autonomy_support,358,0.08519553072625699,0.0016550279329608892,0.17180167597765356
deepseek-v4-pro,cognitive_load,358,-0.0027932960893854776,-0.059224860335195535,0.05531424581005582
deepseek-v4-pro,diagnostic_specificity,358,0.1829608938547486,0.09300977653631283,0.27290502793296084
deepseek-v4-pro,elicitation,358,-0.020949720670391057,-0.0882891061452514,0.05139664804469273
deepseek-v4-pro,epistemic_caution,358,0.06955307262569832,0.0036312849162011204,0.13212290502793295
deepseek-v4-pro,help_directness,358,-0.07067039106145252,-0.144713687150838,0.0008868715083796173
deepseek-v4-pro,personalization,358,0.036312849162011177,-0.02766061452513967,0.09636871508379888
glm-5.2,affective_warmth,358,-0.0044692737430167585,-0.06370111731843574,0.05475558659217874
glm-5.2,autonomy_support,358,-0.012011173184357531,-0.08101256983240222,0.05868016759776526
glm-5.2,cognitive_load,358,-0.045530726256983255,-0.09750000000000002,0.002234636871508378
glm-5.2,diagnostic_specificity,358,0.07402234636871508,0.007262569832402243,0.14246508379888262
glm-5.2,elicitation,358,-0.0393854748603352,-0.10309357541899442,0.022912011173184317
glm-5.2,epistemic_caution,358,0.021787709497206702,-0.027094972067039105,0.07318435754189943
glm-5.2,help_directness,358,0.040782122905027945,-0.012863128491620112,0.09693435754189941
glm-5.2,personalization,358,-0.02988826815642458,-0.07486033519553072,0.01370111731843568
