arm,model,question_rate,answer_reveal_rate,praise_rate,imperative_rate,first_plural_rate,hedge_rate,explanation_rate,diagnosis_rate,log_tokens
generic,deepseek-v4-flash,-0.07043677769547617,-0.03019718966156365,-0.171661040681729,0.16292392183270604,-0.2588805102139255,0.07638737412836447,-0.04154934931896876,0.25196389957064036,0.07805897078603088
generic,deepseek-v4-pro,0.4690995435737429,-0.07466095304104071,-0.39033258498970164,0.22940148187375276,0.036357914955275565,0.3152180820952139,-0.18058536283441878,-0.1882981342840968,-0.5086393600729856
generic,doubao-seed-2.0-lite,-0.3027998321808367,0.1957659424736751,0.6442244651509751,-0.4242623827621523,0.25195540535906974,-0.14325030084396373,-0.27648121002077514,0.8579395940239039,0.7976653939337359
generic,doubao-seed-2.0-pro,-0.11853145305838805,-0.11605752135302858,0.1506465013458915,-0.26828092340971293,0.5263908643972979,-0.11756396181231718,-0.23848990995506456,-0.09897843674322575,0.9448271382026334
generic,glm-5.2,0.6135442090739878,0.011502917121102891,-0.2810023386412042,0.4128866244298121,0.09151665898259358,0.07329774213911158,0.0875952309466817,-0.05427713370155718,0.14620015316827312
generic,minimax-m2.7,-0.23586410780449893,-0.06000846709249406,-0.2249897256042846,-0.3823551076099477,-0.17670412048162032,0.03748026800059887,0.12521667408208567,-0.18655144204383695,-0.31722418583634376
generic,minimax-m3,0.10622635793530852,0.06894519850048753,0.282978879317253,0.16966904528883284,-0.27718627549769115,-0.009728199273659725,-0.0661707582293668,-0.09509779467619406,-0.031254051444287806
generic,qwen3.5-4b,-0.3614998326922465,0.14629249130513575,0.05251485342896261,0.2407575076835251,-0.029286957403432654,-0.0944319168664147,0.2871319761037293,-0.17330291192113212,-0.2581879513545462
generic,qwen3.8-27b,-0.09973810715159276,-0.14158241825227422,-0.062379009326162825,-0.14074016732681602,-0.16416298009756708,-0.13740908756693354,0.30333270922609734,-0.31339764022450134,-0.8514461073825098
pedagogy,deepseek-v4-flash,-0.22023884682935346,-0.08920355086759289,0.19670731504664252,0.11096396529760215,-0.10870115477445873,-0.01398849692854912,-0.04920288892334992,0.004630173271497027,-0.033577511518159624
pedagogy,deepseek-v4-pro,0.4821609392059118,-0.11212118599635229,-0.3635841004848318,0.01967250226358681,0.2661347705103869,0.33427617129664533,-0.21286413665106396,-0.02193472433408717,-0.5557858046195843
pedagogy,doubao-seed-2.0-lite,-0.22438810228550418,0.19469033654044413,0.022805887233628787,-0.22324738053715393,0.055967859458845914,-0.2752795285656199,-0.00830784912528814,0.0599220774816632,0.2989491697964667
pedagogy,doubao-seed-2.0-pro,-0.19050504426094575,0.0009277944363165829,0.17121047468583359,0.17421678212961692,0.18490128187934074,-0.3022269054735376,-0.10626144466000043,0.023112276426084488,0.3011551222535568
pedagogy,glm-5.2,-0.17946355588869276,-0.07657134645634812,-0.27580624598427506,0.2607178454351861,0.14368086720852116,-0.03137540149209786,-0.10224504672926822,0.01032724523323375,0.2194779715264224
pedagogy,minimax-m2.7,0.177142560090059,-0.0743818200628512,0.3097390173037733,-0.236169420386748,-0.39200974661738314,0.46293814007483286,0.03234676157651088,-0.007295267952299405,-0.12633937351690308
pedagogy,minimax-m3,-0.13574071631266607,0.07685122785643732,0.0832113162729397,0.2779379587057643,-0.046541990978920915,-0.04818422181087379,-0.2271078915339092,-0.018919875830355478,0.3946690692363091
pedagogy,qwen3.5-4b,-0.09563904826120233,0.06259711259500367,-0.42484301425433657,-0.15227889085826793,-0.058776458523323694,0.17628052197078692,0.5725944269800268,0.0015932122743030788,0.1229215519417092
pedagogy,qwen3.8-27b,0.3866718145423937,0.01721143195494282,0.28055935018062544,-0.23181336204958636,-0.044655428163008264,-0.3024402790715869,0.10104806906634216,-0.05143511657003949,-0.6214701950998169
