dimension,judge_left,judge_right,targets,exact_agreement,within_one,spearman,mean_difference_left_minus_right
instructional_agency,glm-5.2,deepseek-v4-pro,1740,0.6022988505747127,0.9655172413793104,0.7830891782500249,-0.32241379310344825
instructional_agency,glm-5.2,doubao-seed-2.0-lite,1740,0.6017241379310345,0.9155172413793103,0.7365390361874884,-0.11149425287356322
instructional_agency,glm-5.2,minimax-m2.7,1740,0.5666666666666667,0.9603448275862069,0.7017985106395848,-0.21954022988505748
instructional_agency,deepseek-v4-pro,doubao-seed-2.0-lite,1740,0.6316091954022989,0.9155172413793103,0.7449522822214136,0.21091954022988504
instructional_agency,deepseek-v4-pro,minimax-m2.7,1740,0.6201149425287357,0.9724137931034482,0.7071488188986249,0.1028735632183908
instructional_agency,doubao-seed-2.0-lite,minimax-m2.7,1740,0.5913793103448276,0.9229885057471264,0.740102847098514,-0.10804597701149425
relational_communion,glm-5.2,deepseek-v4-pro,1740,0.7166666666666667,0.9982758620689656,0.8639032838973493,0.013793103448275862
relational_communion,glm-5.2,doubao-seed-2.0-lite,1740,0.7091954022988506,0.9982758620689656,0.8538583276384837,-0.00632183908045977
relational_communion,glm-5.2,minimax-m2.7,1740,0.6931034482758621,1.0,0.854901009417698,0.12298850574712644
relational_communion,deepseek-v4-pro,doubao-seed-2.0-lite,1740,0.7344827586206897,0.9982758620689656,0.8669757379366161,-0.020114942528735632
relational_communion,deepseek-v4-pro,minimax-m2.7,1740,0.7086206896551724,0.9994252873563219,0.8663637363447837,0.10919540229885058
relational_communion,doubao-seed-2.0-lite,minimax-m2.7,1740,0.653448275862069,1.0,0.8457983318148901,0.12931034482758622
next_step_actionability,glm-5.2,deepseek-v4-pro,1740,0.5379310344827586,0.9149425287356322,0.5785094419653135,-0.39022988505747125
next_step_actionability,glm-5.2,doubao-seed-2.0-lite,1740,0.4471264367816092,0.8735632183908046,0.5190148076517205,-0.3896551724137931
next_step_actionability,glm-5.2,minimax-m2.7,1740,0.5103448275862069,0.9224137931034483,0.5095770553065582,-0.05459770114942529
next_step_actionability,deepseek-v4-pro,doubao-seed-2.0-lite,1740,0.5649425287356322,0.9235632183908046,0.5072597884761526,0.0005747126436781609
next_step_actionability,deepseek-v4-pro,minimax-m2.7,1740,0.47126436781609193,0.8936781609195402,0.5766407055043486,0.335632183908046
next_step_actionability,doubao-seed-2.0-lite,minimax-m2.7,1740,0.3954022988505747,0.8281609195402299,0.46939592177126993,0.3350574712643678
