event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,4028,0.9826216484607746,0.9814520402755696,0.9836524988323213
affect_acknowledgement,MiniMax-M3,glm-5.3,4028,0.9652432969215492,0.9641760491299898,0.9662487945998072
affect_acknowledgement,deepseek-v4-pro,glm-5.3,4028,0.9642502482621649,0.9630579784504875,0.9653679653679653
answer_reveal,MiniMax-M3,deepseek-v4-pro,4028,0.9868421052631579,0.9908161497140877,0.9768052516411379
answer_reveal,MiniMax-M3,glm-5.3,4028,0.990317775571003,0.993223284100782,0.9830508474576272
answer_reveal,deepseek-v4-pro,glm-5.3,4028,0.9890764647467726,0.9924059371763894,0.9805481874447391
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,4028,0.8763654419066534,0.39416058394160586,0.9311584185789328
epistemic_qualification,MiniMax-M3,glm-5.3,4028,0.9528301886792453,0.6090534979423868,0.9749009247027741
epistemic_qualification,deepseek-v4-pro,glm-5.3,4028,0.9016881827209533,0.5892116182572614,0.9441624365482234
information_request,MiniMax-M3,deepseek-v4-pro,4028,0.9945382323733863,0.7608695652173914,0.9972375690607734
information_request,MiniMax-M3,glm-5.3,4028,0.9982621648460774,0.9090909090909091,0.9991226970798346
information_request,deepseek-v4-pro,glm-5.3,4028,0.9952830188679245,0.7816091954022989,0.9976157610741624
learner_choice,MiniMax-M3,deepseek-v4-pro,4028,0.9493545183714002,0.8185053380782918,0.9705712637045586
learner_choice,MiniMax-M3,glm-5.3,4028,0.9332174776564052,0.6786140979689367,0.9627372212217759
learner_choice,deepseek-v4-pro,glm-5.3,4028,0.9252730883813307,0.6834910620399579,0.9576354679802955
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,4028,0.9379344587884806,0.9252839210998207,0.9469214437367304
reasoning_elicitation,MiniMax-M3,glm-5.3,4028,0.9265143992055611,0.9151862464183381,0.9351730179588261
reasoning_elicitation,deepseek-v4-pro,glm-5.3,4028,0.9339622641509434,0.925531914893617,0.940677966101695
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,4028,0.9061569016881827,0.40752351097178685,0.9490428686977622
unsupported_ability_claim,MiniMax-M3,glm-5.3,4028,0.9237835153922542,0.26024096385542167,0.9598220128255464
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,4028,0.9411618669314796,0.3646112600536193,0.9691526747364311
worked_explanation,MiniMax-M3,deepseek-v4-pro,4028,0.9337140019860973,0.960155200716311,0.8029520295202952
worked_explanation,MiniMax-M3,glm-5.3,4028,0.9414101290963257,0.9646176911544228,0.8297258297258298
worked_explanation,deepseek-v4-pro,glm-5.3,4028,0.9515888778550149,0.9711836855327324,0.8487199379363848
