excluded_judge,dimension,full_icc,leaveout_icc,icc_change
MiniMax-M3,help_directness,0.6287436390635446,0.6898738957262295,0.0611302566626849
MiniMax-M3,elicitation,0.4745807802431492,0.48536618928828623,0.010785409045137029
MiniMax-M3,autonomy_support,0.6096530752065081,0.6615838461837691,0.051930770977260954
MiniMax-M3,affective_warmth,0.47949781032361416,0.4722345944789567,-0.007263215844657445
MiniMax-M3,diagnostic_specificity,0.2032050177276407,0.28712746338921086,0.08392244566157014
MiniMax-M3,personalization,0.3396894072525623,0.5126182041992882,0.17292879694672586
MiniMax-M3,cognitive_load,0.6634936770300413,0.7304438183075892,0.06695014127754795
MiniMax-M3,epistemic_caution,0.034580081457416846,0.24104232693090857,0.20646224547349173
deepseek-v4-pro,help_directness,0.6287436390635446,0.7000292054951635,0.07128556643161887
deepseek-v4-pro,elicitation,0.4745807802431492,0.5451747624586349,0.07059398221548574
deepseek-v4-pro,autonomy_support,0.6096530752065081,0.6495603568664614,0.039907281659953275
deepseek-v4-pro,affective_warmth,0.47949781032361416,0.4711205421430258,-0.00837726818058837
deepseek-v4-pro,diagnostic_specificity,0.2032050177276407,0.06629837022564736,-0.13690664750199336
deepseek-v4-pro,personalization,0.3396894072525623,0.39103000030085683,0.051340593048294525
deepseek-v4-pro,cognitive_load,0.6634936770300413,0.641515052335241,-0.021978624694800275
deepseek-v4-pro,epistemic_caution,0.034580081457416846,-0.06930088733526955,-0.1038809687926864
glm-5.2,help_directness,0.6287436390635446,0.6443133513606936,0.015569712297148985
glm-5.2,elicitation,0.4745807802431492,0.5983421414340415,0.12376136119089232
glm-5.2,autonomy_support,0.6096530752065081,0.6313497904964503,0.021696715289942214
glm-5.2,affective_warmth,0.47949781032361416,0.4408840932447511,-0.038613717078863075
glm-5.2,diagnostic_specificity,0.2032050177276407,0.05296449364801614,-0.15024052407962457
glm-5.2,personalization,0.3396894072525623,0.44901985059587324,0.10933044334331093
glm-5.2,cognitive_load,0.6634936770300413,0.6679958427963074,0.004502165766266164
glm-5.2,epistemic_caution,0.034580081457416846,0.009234644388492141,-0.025345437068924705
