blind_id,event,present,unanimous,template,progress,affect,repeat,model
33557f69dc0498a4f855,affect_acknowledgement,0,1,pilot_density,late,calm,0,glm-5.2
3aba688cd99bccc84e28,affect_acknowledgement,1,1,pilot_causal_claim,late,frustrated,1,MiniMax-M2.7
59268659c3b2e8b6664e,affect_acknowledgement,0,1,pilot_causal_claim,late,calm,0,doubao-seed-2.0-lite
5ed0b92674b9c4dc0ae4,affect_acknowledgement,1,1,pilot_equation,late,frustrated,0,MiniMax-M2.7
5edf0ae67f09b3a6c257,affect_acknowledgement,1,1,pilot_fractions,early,calm,0,MiniMax-M3
6b967cdfbda0a7700cf3,affect_acknowledgement,0,1,pilot_fractions,late,calm,0,MiniMax-M2.7
6bccfcfc31d66662754b,affect_acknowledgement,1,1,pilot_fractions,late,frustrated,0,deepseek-v4-pro
7d1c6c28017d7ac3b845,affect_acknowledgement,1,1,pilot_fractions,early,frustrated,0,glm-5.2
80a47e6c5d7231e2751b,affect_acknowledgement,1,1,pilot_equation,early,frustrated,1,glm-5.2
9b38451e3f725056f428,affect_acknowledgement,1,1,pilot_density,early,frustrated,1,doubao-seed-2.0-lite
9f5c557faec6e4ad38fc,affect_acknowledgement,1,1,pilot_equation,late,calm,0,MiniMax-M3
a3cd2bff7780acd7ef74,affect_acknowledgement,1,1,pilot_causal_claim,late,frustrated,0,deepseek-v4-pro
a57f3e700321f6075726,affect_acknowledgement,0,1,pilot_fractions,late,calm,1,doubao-seed-2.0-lite
b5583ef9a5bf8f372191,affect_acknowledgement,0,1,pilot_density,late,frustrated,0,MiniMax-M2.7
b82e05d798ed9d62d46f,affect_acknowledgement,1,1,pilot_equation,late,calm,1,deepseek-v4-pro
c8f60d6c3a941c46464a,affect_acknowledgement,1,1,pilot_causal_claim,early,calm,0,glm-5.2
c9c385feb42fe3c24a0f,affect_acknowledgement,1,1,pilot_density,early,calm,0,deepseek-v4-pro
ceb76023e02779aaaebb,affect_acknowledgement,1,1,pilot_density,late,frustrated,0,MiniMax-M3
e741484691388821e7a1,affect_acknowledgement,1,0,pilot_causal_claim,early,frustrated,0,MiniMax-M3
e9de51ca1069f2d4999d,affect_acknowledgement,1,1,pilot_equation,late,frustrated,0,doubao-seed-2.0-lite
33557f69dc0498a4f855,answer_reveal,0,1,pilot_density,late,calm,0,glm-5.2
3aba688cd99bccc84e28,answer_reveal,1,1,pilot_causal_claim,late,frustrated,1,MiniMax-M2.7
59268659c3b2e8b6664e,answer_reveal,1,1,pilot_causal_claim,late,calm,0,doubao-seed-2.0-lite
5ed0b92674b9c4dc0ae4,answer_reveal,1,1,pilot_equation,late,frustrated,0,MiniMax-M2.7
5edf0ae67f09b3a6c257,answer_reveal,1,1,pilot_fractions,early,calm,0,MiniMax-M3
6b967cdfbda0a7700cf3,answer_reveal,1,1,pilot_fractions,late,calm,0,MiniMax-M2.7
6bccfcfc31d66662754b,answer_reveal,1,1,pilot_fractions,late,frustrated,0,deepseek-v4-pro
7d1c6c28017d7ac3b845,answer_reveal,0,1,pilot_fractions,early,frustrated,0,glm-5.2
80a47e6c5d7231e2751b,answer_reveal,0,1,pilot_equation,early,frustrated,1,glm-5.2
9b38451e3f725056f428,answer_reveal,1,1,pilot_density,early,frustrated,1,doubao-seed-2.0-lite
9f5c557faec6e4ad38fc,answer_reveal,1,1,pilot_equation,late,calm,0,MiniMax-M3
a3cd2bff7780acd7ef74,answer_reveal,1,1,pilot_causal_claim,late,frustrated,0,deepseek-v4-pro
a57f3e700321f6075726,answer_reveal,1,1,pilot_fractions,late,calm,1,doubao-seed-2.0-lite
b5583ef9a5bf8f372191,answer_reveal,1,1,pilot_density,late,frustrated,0,MiniMax-M2.7
b82e05d798ed9d62d46f,answer_reveal,1,1,pilot_equation,late,calm,1,deepseek-v4-pro
c8f60d6c3a941c46464a,answer_reveal,1,0,pilot_causal_claim,early,calm,0,glm-5.2
c9c385feb42fe3c24a0f,answer_reveal,1,1,pilot_density,early,calm,0,deepseek-v4-pro
ceb76023e02779aaaebb,answer_reveal,1,1,pilot_density,late,frustrated,0,MiniMax-M3
e741484691388821e7a1,answer_reveal,1,1,pilot_causal_claim,early,frustrated,0,MiniMax-M3
e9de51ca1069f2d4999d,answer_reveal,1,1,pilot_equation,late,frustrated,0,doubao-seed-2.0-lite
33557f69dc0498a4f855,epistemic_qualification,0,1,pilot_density,late,calm,0,glm-5.2
3aba688cd99bccc84e28,epistemic_qualification,1,1,pilot_causal_claim,late,frustrated,1,MiniMax-M2.7
59268659c3b2e8b6664e,epistemic_qualification,1,1,pilot_causal_claim,late,calm,0,doubao-seed-2.0-lite
5ed0b92674b9c4dc0ae4,epistemic_qualification,0,1,pilot_equation,late,frustrated,0,MiniMax-M2.7
5edf0ae67f09b3a6c257,epistemic_qualification,0,1,pilot_fractions,early,calm,0,MiniMax-M3
6b967cdfbda0a7700cf3,epistemic_qualification,0,0,pilot_fractions,late,calm,0,MiniMax-M2.7
6bccfcfc31d66662754b,epistemic_qualification,0,1,pilot_fractions,late,frustrated,0,deepseek-v4-pro
