blind_id,event,present,unanimous
057cc0ee14a95dd0ed1c,affect_acknowledgement,0,1
08cf7a67f5201b16e0db,affect_acknowledgement,0,1
123ab30e850aec171348,affect_acknowledgement,0,1
14d0c8a0e56f6f909dba,affect_acknowledgement,0,1
1cf56141d68b5b8d284d,affect_acknowledgement,0,1
24f0913b22e3488aa7d9,affect_acknowledgement,0,1
2e8aba971ea676d6ba79,affect_acknowledgement,0,1
74838bf9fc5b52be8f39,affect_acknowledgement,1,1
a52bbeb0d1b4ac696f22,affect_acknowledgement,0,1
a8aacd19e079ded840e8,affect_acknowledgement,0,1
acd2d2ca2db79557b406,affect_acknowledgement,0,1
b7d2a6ff11e475aebddb,affect_acknowledgement,0,1
c932bbee58ee0bde20c1,affect_acknowledgement,0,1
d4dd2e236676a7caac27,affect_acknowledgement,0,1
d7bee3298c547b003a25,affect_acknowledgement,1,1
f9a3ab4a6ebfcf8d4c59,affect_acknowledgement,0,1
057cc0ee14a95dd0ed1c,answer_reveal,0,1
08cf7a67f5201b16e0db,answer_reveal,1,1
123ab30e850aec171348,answer_reveal,0,1
14d0c8a0e56f6f909dba,answer_reveal,0,1
1cf56141d68b5b8d284d,answer_reveal,1,1
24f0913b22e3488aa7d9,answer_reveal,0,1
2e8aba971ea676d6ba79,answer_reveal,0,1
74838bf9fc5b52be8f39,answer_reveal,0,1
a52bbeb0d1b4ac696f22,answer_reveal,1,1
a8aacd19e079ded840e8,answer_reveal,1,1
acd2d2ca2db79557b406,answer_reveal,0,1
b7d2a6ff11e475aebddb,answer_reveal,0,1
c932bbee58ee0bde20c1,answer_reveal,0,1
d4dd2e236676a7caac27,answer_reveal,1,1
d7bee3298c547b003a25,answer_reveal,0,1
f9a3ab4a6ebfcf8d4c59,answer_reveal,1,1
057cc0ee14a95dd0ed1c,epistemic_qualification,0,1
08cf7a67f5201b16e0db,epistemic_qualification,0,1
123ab30e850aec171348,epistemic_qualification,0,1
14d0c8a0e56f6f909dba,epistemic_qualification,0,1
1cf56141d68b5b8d284d,epistemic_qualification,1,1
24f0913b22e3488aa7d9,epistemic_qualification,0,1
2e8aba971ea676d6ba79,epistemic_qualification,0,1
74838bf9fc5b52be8f39,epistemic_qualification,0,1
a52bbeb0d1b4ac696f22,epistemic_qualification,0,1
a8aacd19e079ded840e8,epistemic_qualification,0,1
acd2d2ca2db79557b406,epistemic_qualification,0,1
b7d2a6ff11e475aebddb,epistemic_qualification,0,1
c932bbee58ee0bde20c1,epistemic_qualification,0,1
d4dd2e236676a7caac27,epistemic_qualification,0,1
d7bee3298c547b003a25,epistemic_qualification,0,1
f9a3ab4a6ebfcf8d4c59,epistemic_qualification,0,1
057cc0ee14a95dd0ed1c,information_request,0,1
08cf7a67f5201b16e0db,information_request,0,1
123ab30e850aec171348,information_request,0,1
14d0c8a0e56f6f909dba,information_request,0,1
1cf56141d68b5b8d284d,information_request,0,1
24f0913b22e3488aa7d9,information_request,0,1
2e8aba971ea676d6ba79,information_request,0,1
74838bf9fc5b52be8f39,information_request,0,1
a52bbeb0d1b4ac696f22,information_request,0,1
a8aacd19e079ded840e8,information_request,0,1
acd2d2ca2db79557b406,information_request,0,1
b7d2a6ff11e475aebddb,information_request,1,1
