model,benchmark,log_chars,log_tokens,line_count,sentence_count,mean_sentence_tokens,markdown_heading_rate,bullet_rate,numbered_step_rate,latex_rate,emoji_rate,table_present,question_rate,ends_question,exactly_one_question,second_person_rate,first_plural_rate,praise_rate,encouragement_rate,hedge_rate,imperative_rate,history_reference_rate,answer_reveal_rate,explanation_rate,diagnosis_rate
deepseek-v4-pro,agieval,-0.9716863852338136,-0.9976491879326884,-0.21422096935096777,-0.20839267703711342,-0.09218043795426166,-0.4386005515997088,-0.6344540550163217,-0.5934943108189439,-0.29435705807167756,-0.18567918660078186,-0.18813518157544226,-0.1029248190607629,0.01070796641904297,-0.16742619313768453,0.02162421555683414,-0.30324474853067873,0.028968178687383512,-0.006814679175536556,0.19536990782818614,-0.3999636275923074,-0.010627517196869909,0.1638373172926437,0.03609765781949505,-0.2172916748003591
deepseek-v4-pro,ceval,1.3672107635480697,1.2364734958992742,0.12887445405446965,0.2663829840970982,0.755612304899477,0.11879791212942911,0.11738495028056276,0.0,0.2702504878730064,0.0,0.0,-0.014399099185479255,-0.012193459666002259,-0.012193459666002259,0.06096729833001131,0.04970139842993231,0.2175126671972213,0.0,0.15771198898574706,0.1626634633550807,0.09246120308523724,0.12352481961497046,0.18165316511666285,0.22079152748272485
deepseek-v4-pro,ifeval,-0.22134400889723416,-0.20778460506157553,-0.041133362529795575,-0.014838858293301704,-0.0920623735696603,-0.08335038210544342,-0.06511525170149426,-0.10519459575319524,-0.08053757634458593,-0.03352774583023385,-0.12388875873844497,-0.049411789116751655,0.08883669009010847,0.050604972583456115,0.10017080435171348,-0.039499375254718236,-0.06174748666041057,0.045957518945360265,0.12924143990116455,-0.12787044505270032,-0.14956487337039243,0.006605296077481691,-0.05182080581249435,-0.052287006604641945
deepseek-v4-pro,mmlu_pro,-0.916506229956201,-0.9448715020173967,-0.6605902758907566,-0.1685291824032547,-0.15953617193095637,-0.4134804412374471,-0.6999472349628072,-0.5728934890486928,-0.36405180921404556,-0.1222280306218713,-0.11266870013675638,-0.12348500189746398,0.0,-0.11404504547456701,-0.04320206549810427,-0.41462788825828645,-0.13566577225195456,-0.041546299311000075,0.07069158335909267,-0.4808876723835128,0.019777869228036773,0.19253438855710603,-0.05654417585363636,-0.39955321860616944
doubao-seed-2.0-pro,agieval,0.5286342092352717,0.604512949063537,0.03527558213661537,0.021538966055819987,0.11929502876335452,1.506378813548642,-0.16700516817451988,0.08693251384917773,-0.11294290385524437,-0.15384563396932177,-0.04558907130326415,-0.10189561661256433,-0.02141593283808593,-0.0988557386103052,-0.09105637939965754,0.4020927392738636,0.07204372643012254,-0.05176664580480942,-0.21916726281690035,0.014796993477525255,-0.005631490131150613,-0.2810741814788142,-0.3052370508167809,0.5705172939158064
doubao-seed-2.0-pro,ceval,-0.282337976060251,-0.2556661714060269,-0.04316821566127713,-0.06896970319962395,-0.16030376089959267,-0.02375958242588582,-0.023476990056112555,0.0,-0.05708509614265904,0.0,0.0,-0.014399099185479255,-0.012193459666002259,-0.012193459666002259,-0.012193459666002262,-0.01781818427639948,-0.04397510191502067,0.0,-0.0327788762634027,-0.039237424825541836,-0.018492240617047448,-0.02494514647867631,-0.03805257280160691,-0.0456965551356403
doubao-seed-2.0-pro,ifeval,1.023874558752349,1.0520096174170983,-0.009636064953407604,-0.012801200965776856,0.5605331400824822,0.049206340881703836,-0.0972678696779218,-0.017210197768516795,-0.02585192090342714,-0.03603469339901682,0.279274659529037,-0.004993760811431809,-0.06107522443694955,-0.01840180821216583,-0.0628031948625768,-0.06244571200741047,-0.0723184036157204,-0.023514074113646487,-0.08713698808339905,-0.19593763082428414,0.010860583046681976,-0.05682313671591881,-0.04292073656298301,-0.01690746390343549
doubao-seed-2.0-pro,mmlu_pro,0.8517422342242056,0.8935010118303154,0.32082923046980516,0.1344601932394784,-0.05205164817620648,1.2438248288823432,0.04617835709204512,0.15136432923456863,-0.10434483264456461,-0.1222280306218713,-0.013740085382531261,-0.10271642459606636,0.0,-0.05338278724341434,0.006485487240707454,0.8634189892127948,0.0578680476529178,-0.0003799400295034704,-0.15235877460456032,0.12866211711467399,0.03825152927596615,-0.33166673001904035,-0.32192578506133146,0.8349630439680027
glm-5.2,agieval,0.1544614327892637,0.2047299728864599,-0.06324913457621045,-0.02997938324034736,-0.09164895206327271,-0.43025319837548126,-0.2593349787483332,-0.030371874438401048,-0.034847695215198496,-0.19105434054021153,-0.17272479127574733,-0.09279608526479698,-0.02141593283808593,-0.06285624998343105,0.02504848570380382,0.5689867475638888,0.017531264655259525,0.03942659698611079,0.046328835731095794,0.10553463992602359,0.03422363143448594,-0.18300035490456368,0.5345356982466505,0.1261582310383651
glm-5.2,ceval,-0.2741299736642495,-0.24786240340423263,-0.028988874750638657,-0.06747036182571908,-0.14125360374396692,-0.02375958242588582,-0.023476990056112555,0.0,-0.05176265198009807,0.0,0.0,-0.014399099185479255,-0.012193459666002259,-0.012193459666002259,-0.012193459666002262,0.004862812498337294,-0.04397510191502067,0.0,-0.0327788762634027,-0.03665426883973719,-0.018492240617047448,-0.024339308278043828,-0.03805257280160691,-0.0456965551356403
