benchmark,family,prompt_arm,item_id,model,response_sha256,log_chars,log_tokens,line_count,sentence_count,mean_sentence_tokens,question_rate,ends_question,exactly_one_question,markdown_heading_rate,bullet_rate,numbered_step_rate,latex_rate,emoji_rate,table_present,second_person_rate,first_plural_rate,praise_rate,encouragement_rate,hedge_rate,imperative_rate,history_reference_rate,answer_reveal_rate,explanation_rate,diagnosis_rate,outcome_primary,history_utilization,strategy_alignment,coherence,appropriateness
longtutor_teaching,longitudinal_personalization,none,10031||031dd743a7299257d53d9e56a30712f07c40dbe0cdd4c150fc1d99906398c37d,minimax-m3,05a1ef60cc4d774940cddee7bbd3d37976b7ce71798b06d3568d049e67e419e9,6.502790045915623,5.998936561946683,22.0,18.0,22.333333333333332,0.4975124378109453,0.0,0.0,1.492537313432836,0.746268656716418,0.9950248756218906,2.487562189054726,0.24875621890547264,0.0,1.7412935323383085,0.0,0.0,0.24875621890547264,0.24875621890547264,0.24875621890547264,0.0,0.0,0.0,0.24875621890547264,2.75,2.0,2.0,4.0,3.0
longtutor_teaching,longitudinal_personalization,none,10031||031dd743a7299257d53d9e56a30712f07c40dbe0cdd4c150fc1d99906398c37d,minimax-m2.7,f5625b64dd75d9262144ead82a030d90a643be9328e3403cefe7b3496a71f011,6.921658184151129,6.173786103901937,35.0,21.0,22.80952380952381,0.0,0.0,0.0,0.0,1.4613778705636744,1.4613778705636744,4.384133611691023,0.0,0.0,0.6263048016701461,0.0,0.0,0.0,0.20876826722338204,0.8350730688935282,0.0,0.0,0.20876826722338204,0.0,2.25,1.0,1.0,4.0,3.0
longtutor_teaching,longitudinal_personalization,none,10031||031dd743a7299257d53d9e56a30712f07c40dbe0cdd4c150fc1d99906398c37d,glm-5.2,db4e4ebbbf13e53cb6af28d8b964c1217a468c4f868fb2bcd0fa8c132a12406d,5.659482215759621,5.407171771460119,7.0,11.0,20.181818181818183,0.45045045045045046,0.0,1.0,0.0,0.0,1.3513513513513513,0.9009009009009009,0.0,0.0,0.9009009009009009,0.0,0.0,0.9009009009009009,0.0,0.45045045045045046,0.0,0.0,0.0,0.0,2.25,1.0,1.0,5.0,2.0
longtutor_teaching,longitudinal_personalization,none,10031||031dd743a7299257d53d9e56a30712f07c40dbe0cdd4c150fc1d99906398c37d,deepseek-v4-pro,1f2b6eb2d994361ab753a0e42f370a712ec70c345f1311973bf3d84ff6216bbe,6.459904454377535,6.226536669287466,9.0,21.0,24.047619047619047,0.39603960396039606,0.0,0.0,0.0,0.0,0.7920792079207921,0.0,0.0,0.0,1.188118811881188,0.39603960396039606,0.0,0.0,0.39603960396039606,0.594059405940594,0.594059405940594,0.19801980198019803,0.0,0.0,3.0,3.0,2.0,4.0,3.0
longtutor_teaching,longitudinal_personalization,none,10031||031dd743a7299257d53d9e56a30712f07c40dbe0cdd4c150fc1d99906398c37d,doubao-seed-2.0-pro,9818ee1a9ac880d0e47249e68c8876b0fd93741553150b3d70bf533375d61763,5.662960480135946,5.480638923341991,6.0,6.0,39.833333333333336,0.0,0.0,0.0,0.0,0.0,1.6736401673640167,0.0,0.0,0.0,0.8368200836820083,0.0,0.0,0.0,0.0,0.0,0.41841004184100417,0.0,0.0,0.0,3.0,3.0,2.0,4.0,3.0
longtutor_teaching,longitudinal_personalization,none,10031||031dd743a7299257d53d9e56a30712f07c40dbe0cdd4c150fc1d99906398c37d,qwen3.5-4b,4e8604c3306cfadb77b81dc311bf6853afeb3fbb4d2b9a262ac0ee8e2ce41e72,6.102558594613569,5.720311776607412,8.0,14.0,21.714285714285715,0.6578947368421053,1.0,0.0,0.0,0.0,1.3157894736842106,0.0,0.0,0.0,1.644736842105263,0.6578947368421053,0.6578947368421053,0.0,0.0,0.9868421052631579,1.3157894736842106,0.0,0.0,0.0,3.5,3.0,2.0,5.0,4.0
longtutor_teaching,longitudinal_personalization,none,10032||861773f179974ecdb426b352e97f895c96b90096ffaaacdac2b8c85890e8c4ca,minimax-m3,5ef92eaa89174fac4554830a2b1239e358f9516ddd0a07a647ee95e8bec76dbd,7.255591274253665,5.560681631015528,12.0,22.0,11.772727272727273,1.9305019305019304,0.0,0.0,0.0,0.7722007722007722,1.5444015444015444,0.0,0.0,0.0,4.633204633204633,0.0,0.0,0.0,0.7722007722007722,1.5444015444015444,0.0,0.0,0.0,0.0,4.5,4.0,4.0,5.0,5.0
longtutor_teaching,longitudinal_personalization,none,10032||861773f179974ecdb426b352e97f895c96b90096ffaaacdac2b8c85890e8c4ca,minimax-m2.7,80594d11ab8321d0fa9820a48ee4197ea50d47960383ec4d77c0ee72224117a7,6.826545223556594,6.100318952020064,28.0,20.0,22.25,0.6741573033707865,0.0,0.0,0.0,2.0224719101123596,0.449438202247191,5.842696629213483,0.0,0.0,1.1235955056179776,0.0,0.2247191011235955,0.2247191011235955,0.449438202247191,0.449438202247191,0.0,0.0,0.6741573033707865,0.0,2.75,3.0,2.0,4.0,2.0
longtutor_teaching,longitudinal_personalization,none,10032||861773f179974ecdb426b352e97f895c96b90096ffaaacdac2b8c85890e8c4ca,glm-5.2,58f79424d235c2b67934e9fcb46150d91b07c0e054cf39104b9916ed422546fe,5.91350300563827,5.442417710521793,11.0,6.0,38.333333333333336,0.43478260869565216,1.0,1.0,0.0,0.0,0.8695652173913043,6.086956521739131,0.0,0.0,0.8695652173913043,1.3043478260869565,0.0,0.0,0.0,0.43478260869565216,0.43478260869565216,0.0,0.0,0.0,4.5,4.0,5.0,5.0,4.0
longtutor_teaching,longitudinal_personalization,none,10032||861773f179974ecdb426b352e97f895c96b90096ffaaacdac2b8c85890e8c4ca,deepseek-v4-pro,7616f170031574e83cb92f647e822be45d017c45115daa0bd9435f7d00fe0230,6.570882962339584,6.1903154058531475,17.0,15.0,32.46666666666667,0.2053388090349076,0.0,1.0,0.0,2.0533880903490758,0.0,0.0,0.0,0.0,1.0266940451745379,1.2320328542094456,0.0,0.2053388090349076,0.2053388090349076,0.6160164271047228,0.4106776180698152,0.0,0.2053388090349076,0.2053388090349076,3.25,2.0,3.0,5.0,3.0
longtutor_teaching,longitudinal_personalization,none,10032||861773f179974ecdb426b352e97f895c96b90096ffaaacdac2b8c85890e8c4ca,doubao-seed-2.0-pro,3069bdc354ec9a74844fbcd7c67b8d508f58a6bfd49fb00b77d61a745e4cbab0,7.00669522683704,5.2574953720277815,9.0,13.0,14.692307692307692,0.0,0.0,0.0,0.0,0.0,1.5706806282722514,0.0,0.0,0.0,1.5706806282722514,3.6649214659685865,0.0,0.5235602094240838,0.0,1.0471204188481675,1.0471204188481675,0.5235602094240838,0.5235602094240838,0.0,3.75,3.0,4.0,4.0,4.0
