judge,dimension,context_batches,own_minus_other_residual,ci_low,ci_high
MiniMax-M3,affective_warmth,85,0.03823529411764706,-0.05647058823529412,0.11963235294117645
MiniMax-M3,autonomy_support,85,0.029411764705882353,-0.0825,0.1239705882352941
MiniMax-M3,cognitive_load,85,-0.01764705882352941,-0.11433823529411764,0.07779411764705875
MiniMax-M3,diagnostic_specificity,85,0.1411764705882353,0.043970588235294115,0.2230147058823529
MiniMax-M3,elicitation,85,0.0029411764705882353,-0.17566176470588235,0.07985294117647057
MiniMax-M3,epistemic_caution,85,0.008823529411764706,-0.10874999999999999,0.05911764705882352
MiniMax-M3,help_directness,85,0.058823529411764705,-0.01558823529411765,0.20463235294117646
MiniMax-M3,personalization,85,-0.014705882352941176,-0.09161764705882353,0.05911764705882352
glm-5.2,affective_warmth,85,-0.00235294117647059,-0.07194117647058823,0.07723529411764703
glm-5.2,autonomy_support,85,-0.03058823529411764,-0.2010588235294117,0.04258823529411765
glm-5.2,cognitive_load,85,-0.01411764705882351,-0.1405294117647059,0.09258823529411747
glm-5.2,diagnostic_specificity,85,0.18352941176470589,0.02741176470588235,0.3089999999999999
glm-5.2,elicitation,85,0.018823529411764708,-0.08129411764705884,0.1456470588235293
glm-5.2,epistemic_caution,85,-0.021176470588235293,-0.1237058823529412,0.08552941176470584
glm-5.2,help_directness,85,-0.004705882352941191,-0.11441176470588232,0.14199999999999996
glm-5.2,personalization,85,-0.15058823529411766,-0.2298235294117647,-0.05723529411764707
