benchmark,dimension,contexts,models,partial_eta_squared_model_after_item,bootstrap_ci_low,bootstrap_ci_high,max_minus_min_model_mean
mathtutorbench_pedagogy,affective_warmth,80,6,0.21898602719033242,0.15910092791809946,0.26689125926922286,1.0812500000000003
mathtutorbench_pedagogy,autonomy_support,80,6,0.11947727272727267,0.09551838750142234,0.20442108786740823,0.6687499999999997
mathtutorbench_pedagogy,cognitive_load,80,6,0.08855107713690064,0.06855462627369102,0.13124430354845348,0.39375000000000004
mathtutorbench_pedagogy,diagnostic_specificity,80,6,0.06875319040326691,0.036133007349186105,0.1372197861534285,0.6062499999999997
mathtutorbench_pedagogy,elicitation,80,6,0.14097944142746316,0.12133910892598425,0.2288483600668547,0.9187500000000002
mathtutorbench_pedagogy,epistemic_caution,80,6,0.05545443288756808,0.03886083017771445,0.0871202874303634,0.3062499999999999
mathtutorbench_pedagogy,help_directness,80,6,0.15613960597826082,0.10626794798376646,0.19978541762622753,0.8125
mathtutorbench_pedagogy,personalization,80,6,0.04658613445378161,0.03207071215826359,0.09435594734415467,0.20625000000000027
mathtutorbench_pedagogy_hard,affective_warmth,40,6,0.09163624511082136,0.04320740365386682,0.1920454024037348,0.7749999999999999
mathtutorbench_pedagogy_hard,autonomy_support,40,6,0.07333902161547215,0.050834811897728295,0.18021103997434335,0.7250000000000001
mathtutorbench_pedagogy_hard,cognitive_load,40,6,0.014635535307517083,0.0021387654322619653,0.0819425049344539,0.19999999999999996
mathtutorbench_pedagogy_hard,diagnostic_specificity,40,6,0.0412415349887133,0.01780844883957828,0.1236725553808683,0.5874999999999999
mathtutorbench_pedagogy_hard,elicitation,40,6,0.11867493995196157,0.06443682910773321,0.1991411587510692,1.1749999999999998
mathtutorbench_pedagogy_hard,epistemic_caution,40,6,0.02125748502994012,0.011819222241544195,0.08157509476196718,0.1875
mathtutorbench_pedagogy_hard,help_directness,40,6,0.05960617349654072,0.036955362480220355,0.12578147056484473,0.5750000000000002
mathtutorbench_pedagogy_hard,personalization,40,6,0.0467684021543986,0.026368831504709967,0.12524323382008126,0.2625000000000002
mathtutorbench_scaffolding,affective_warmth,80,6,0.3079556962025316,0.26003472519463694,0.37221757932057364,1.3375
mathtutorbench_scaffolding,autonomy_support,80,6,0.31310583112457396,0.27329065739922825,0.38364583333333335,1.7125
mathtutorbench_scaffolding,cognitive_load,80,6,0.14104823747680886,0.11684154347088394,0.1715380184428967,0.5499999999999998
mathtutorbench_scaffolding,diagnostic_specificity,80,6,0.03583529758397172,0.025006567044188133,0.07807665093482731,0.3875000000000002
mathtutorbench_scaffolding,elicitation,80,6,0.3270809867087182,0.2939983137011711,0.39059158515992626,2.1625
mathtutorbench_scaffolding,epistemic_caution,80,6,0.02036384976525822,0.007092112024665975,0.061144082726924544,0.1875
mathtutorbench_scaffolding,help_directness,80,6,0.29159410892923315,0.2460699772481672,0.3419525840198185,1.6250000000000004
mathtutorbench_scaffolding,personalization,80,6,0.11442629815745393,0.05969099443127429,0.1748756486642321,0.4750000000000001
mathtutorbench_scaffolding_hard,affective_warmth,40,6,0.28961267605633806,0.21083862014274385,0.40703139163791574,1.4249999999999998
mathtutorbench_scaffolding_hard,autonomy_support,40,6,0.27373586161011315,0.21918933470507548,0.3472576001153479,1.5750000000000002
mathtutorbench_scaffolding_hard,cognitive_load,40,6,0.18989184692179703,0.10318053586426365,0.30265013798117224,0.7000000000000002
mathtutorbench_scaffolding_hard,diagnostic_specificity,40,6,0.07994966442953023,0.0568665254519759,0.19870581322795344,0.7000000000000002
mathtutorbench_scaffolding_hard,elicitation,40,6,0.2981481481481482,0.2301246261216351,0.45524533453911703,2.0500000000000003
mathtutorbench_scaffolding_hard,epistemic_caution,40,6,0.01978527607361961,0.01494287133631399,0.08936538461538455,0.1499999999999999
mathtutorbench_scaffolding_hard,help_directness,40,6,0.24032769556025366,0.19338156973358772,0.3515869317028132,1.4500000000000002
mathtutorbench_scaffolding_hard,personalization,40,6,0.13852459016393437,0.08494703389830509,0.22421372106154716,0.5499999999999998
mathtutorbench_socratic,affective_warmth,80,6,,,,0.0
mathtutorbench_socratic,autonomy_support,80,6,0.07024336283185836,0.047653223765296265,0.14793361430737662,0.3374999999999999
mathtutorbench_socratic,cognitive_load,80,6,0.172239502332815,0.1259350372840273,0.24140392542405,0.8250000000000002
mathtutorbench_socratic,diagnostic_specificity,80,6,0.02419354838709669,0.014062500000000002,0.05066876750700284,0.0625
mathtutorbench_socratic,elicitation,80,6,0.024140211640211486,0.009839375286866413,0.06908723524803445,0.11249999999999982
mathtutorbench_socratic,epistemic_caution,80,6,0.013235294117647121,0.009991987179487169,0.04955465587044532,0.03750000000000009
mathtutorbench_socratic,help_directness,80,6,0.03926282051282055,0.014223549648103965,0.11538597362133543,0.21250000000000013
mathtutorbench_socratic,personalization,80,6,0.018976683937823875,0.011537093043942346,0.06339602485529452,0.11250000000000004
