judge,dimension,candidate_position,mean_residual,ratings
MiniMax-M3,affective_warmth,1,-0.18823529411764706,85
MiniMax-M3,affective_warmth,2,-0.15294117647058825,85
MiniMax-M3,affective_warmth,3,-0.011764705882352941,85
MiniMax-M3,affective_warmth,4,-0.21176470588235294,85
MiniMax-M3,affective_warmth,5,-0.023529411764705882,85
MiniMax-M3,affective_warmth,6,-0.2,85
MiniMax-M3,autonomy_support,1,0.12941176470588237,85
MiniMax-M3,autonomy_support,2,0.4,85
MiniMax-M3,autonomy_support,3,0.21176470588235294,85
MiniMax-M3,autonomy_support,4,0.10588235294117647,85
MiniMax-M3,autonomy_support,5,0.2235294117647059,85
MiniMax-M3,autonomy_support,6,0.047058823529411764,85
MiniMax-M3,cognitive_load,1,0.0,85
MiniMax-M3,cognitive_load,2,0.09411764705882353,85
MiniMax-M3,cognitive_load,3,0.16470588235294117,85
MiniMax-M3,cognitive_load,4,0.1411764705882353,85
MiniMax-M3,cognitive_load,5,0.25882352941176473,85
MiniMax-M3,cognitive_load,6,0.11764705882352941,85
MiniMax-M3,diagnostic_specificity,1,-0.47058823529411764,85
MiniMax-M3,diagnostic_specificity,2,-0.29411764705882354,85
MiniMax-M3,diagnostic_specificity,3,-0.17647058823529413,85
MiniMax-M3,diagnostic_specificity,4,-0.023529411764705882,85
MiniMax-M3,diagnostic_specificity,5,-0.17647058823529413,85
MiniMax-M3,diagnostic_specificity,6,-0.12941176470588237,85
MiniMax-M3,elicitation,1,0.09411764705882353,85
MiniMax-M3,elicitation,2,0.27058823529411763,85
MiniMax-M3,elicitation,3,0.09411764705882353,85
MiniMax-M3,elicitation,4,-0.10588235294117647,85
MiniMax-M3,elicitation,5,0.07058823529411765,85
MiniMax-M3,elicitation,6,-0.047058823529411764,85
MiniMax-M3,epistemic_caution,1,-0.2235294117647059,85
MiniMax-M3,epistemic_caution,2,-0.10588235294117647,85
MiniMax-M3,epistemic_caution,3,-0.10588235294117647,85
MiniMax-M3,epistemic_caution,4,-0.12941176470588237,85
MiniMax-M3,epistemic_caution,5,-0.17647058823529413,85
MiniMax-M3,epistemic_caution,6,0.0,85
MiniMax-M3,help_directness,1,-0.03529411764705882,85
MiniMax-M3,help_directness,2,-0.11764705882352941,85
MiniMax-M3,help_directness,3,-0.18823529411764706,85
MiniMax-M3,help_directness,4,0.047058823529411764,85
MiniMax-M3,help_directness,5,0.09411764705882353,85
MiniMax-M3,help_directness,6,0.10588235294117647,85
MiniMax-M3,personalization,1,-0.15294117647058825,85
MiniMax-M3,personalization,2,-0.023529411764705882,85
MiniMax-M3,personalization,3,-0.08235294117647059,85
MiniMax-M3,personalization,4,0.058823529411764705,85
MiniMax-M3,personalization,5,0.0,85
MiniMax-M3,personalization,6,0.08235294117647059,85
glm-5.2,affective_warmth,1,0.11764705882352941,85
glm-5.2,affective_warmth,2,0.047058823529411764,85
glm-5.2,affective_warmth,3,0.16470588235294117,85
glm-5.2,affective_warmth,4,0.17647058823529413,85
glm-5.2,affective_warmth,5,0.15294117647058825,85
glm-5.2,affective_warmth,6,0.12941176470588237,85
glm-5.2,autonomy_support,1,-0.15294117647058825,85
glm-5.2,autonomy_support,2,-0.11764705882352941,85
glm-5.2,autonomy_support,3,-0.2235294117647059,85
glm-5.2,autonomy_support,4,-0.2823529411764706,85
glm-5.2,autonomy_support,5,-0.2235294117647059,85
glm-5.2,autonomy_support,6,-0.11764705882352941,85
glm-5.2,cognitive_load,1,-0.2235294117647059,85
glm-5.2,cognitive_load,2,-0.11764705882352941,85
glm-5.2,cognitive_load,3,-0.11764705882352941,85
glm-5.2,cognitive_load,4,-0.023529411764705882,85
glm-5.2,cognitive_load,5,-0.08235294117647059,85
glm-5.2,cognitive_load,6,-0.21176470588235294,85
glm-5.2,diagnostic_specificity,1,0.10588235294117647,85
glm-5.2,diagnostic_specificity,2,0.10588235294117647,85
glm-5.2,diagnostic_specificity,3,0.16470588235294117,85
glm-5.2,diagnostic_specificity,4,0.2823529411764706,85
glm-5.2,diagnostic_specificity,5,0.3176470588235294,85
glm-5.2,diagnostic_specificity,6,0.29411764705882354,85
glm-5.2,elicitation,1,0.09411764705882353,85
glm-5.2,elicitation,2,-0.047058823529411764,85
glm-5.2,elicitation,3,-0.07058823529411765,85
glm-5.2,elicitation,4,-0.21176470588235294,85
glm-5.2,elicitation,5,-0.18823529411764706,85
glm-5.2,elicitation,6,0.047058823529411764,85
glm-5.2,epistemic_caution,1,0.023529411764705882,85
glm-5.2,epistemic_caution,2,0.11764705882352941,85
glm-5.2,epistemic_caution,3,0.15294117647058825,85
glm-5.2,epistemic_caution,4,0.11764705882352941,85
glm-5.2,epistemic_caution,5,0.2,85
glm-5.2,epistemic_caution,6,0.12941176470588237,85
glm-5.2,help_directness,1,-0.07058823529411765,85
glm-5.2,help_directness,2,-0.10588235294117647,85
glm-5.2,help_directness,3,0.047058823529411764,85
glm-5.2,help_directness,4,0.047058823529411764,85
glm-5.2,help_directness,5,0.12941176470588237,85
glm-5.2,help_directness,6,0.047058823529411764,85
glm-5.2,personalization,1,0.058823529411764705,85
glm-5.2,personalization,2,0.011764705882352941,85
glm-5.2,personalization,3,-0.011764705882352941,85
glm-5.2,personalization,4,0.0,85
glm-5.2,personalization,5,0.047058823529411764,85
glm-5.2,personalization,6,0.011764705882352941,85
