judge,dimension,ratings,residual_points_per_position_slope,max_minus_min_position_mean
MiniMax-M3,affective_warmth,510,0.0036974789915966678,0.2
MiniMax-M3,autonomy_support,510,-0.029915966386554665,0.35294117647058826
MiniMax-M3,cognitive_load,510,0.03025210084033615,0.25882352941176473
MiniMax-M3,diagnostic_specificity,510,0.0631932773109245,0.44705882352941173
MiniMax-M3,elicitation,510,-0.043025210084033635,0.3764705882352941
MiniMax-M3,epistemic_caution,510,0.02521008403361353,0.2235294117647059
MiniMax-M3,help_directness,510,0.0450420168067227,0.29411764705882354
MiniMax-M3,personalization,510,0.03966386554621855,0.23529411764705882
glm-5.2,affective_warmth,510,0.011092436974789916,0.12941176470588237
glm-5.2,autonomy_support,510,-0.005714285714285653,0.16470588235294117
glm-5.2,cognitive_load,510,0.0073949579831933164,0.2
glm-5.2,diagnostic_specificity,510,0.04840336134453782,0.2117647058823529
glm-5.2,elicitation,510,-0.022857142857142874,0.3058823529411765
glm-5.2,epistemic_caution,510,0.021176470588235304,0.17647058823529413
glm-5.2,help_directness,510,0.036974789915966394,0.23529411764705882
glm-5.2,personalization,510,-0.003361344537815128,0.07058823529411765
