event,baseline,source_group,brier,judge_panel
affect_acknowledgement,conditional_profile,active_passive_voice,0.16969005407343216,single_glm-5.3
affect_acknowledgement,conditional_profile,all_different_constraint,0.18643918652207644,single_glm-5.3
affect_acknowledgement,conditional_profile,apostrophe_possession,0.13893016091010404,single_glm-5.3
affect_acknowledgement,conditional_profile,binary_place_value,0.1927560135001187,single_glm-5.3
affect_acknowledgement,conditional_profile,binary_search_interval,0.12372437610285365,single_glm-5.3
affect_acknowledgement,conditional_profile,boyles_law,0.11432452576267801,single_glm-5.3
affect_acknowledgement,conditional_profile,chemical_equation_balance,0.11749735764976019,single_glm-5.3
affect_acknowledgement,conditional_profile,contrast_connective,0.2069315253728218,single_glm-5.3
affect_acknowledgement,conditional_profile,direct_speech_punctuation,0.1259593912734535,single_glm-5.3
affect_acknowledgement,conditional_profile,exclusive_or,0.09953150944782349,single_glm-5.3
affect_acknowledgement,conditional_profile,exponent_product,0.14398256102438614,single_glm-5.3
affect_acknowledgement,conditional_profile,factorial_counting,0.10308674904685622,single_glm-5.3
affect_acknowledgement,conditional_profile,figurative_metaphor,0.16291029552343447,single_glm-5.3
affect_acknowledgement,conditional_profile,half_life,0.08120448839142658,single_glm-5.3
affect_acknowledgement,conditional_profile,homophone_selection,0.13075033659027646,single_glm-5.3
affect_acknowledgement,conditional_profile,kinetic_energy,0.10814657518015165,single_glm-5.3
affect_acknowledgement,conditional_profile,least_common_multiple,0.20558552197268357,single_glm-5.3
affect_acknowledgement,conditional_profile,loop_accumulation,0.18105873217293528,single_glm-5.3
affect_acknowledgement,conditional_profile,median,0.20055065384146759,single_glm-5.3
affect_acknowledgement,conditional_profile,parallel_structure,0.1615689353852904,single_glm-5.3
affect_acknowledgement,conditional_profile,photosynthesis_inputs,0.21955642231431435,single_glm-5.3
affect_acknowledgement,conditional_profile,pigeonhole_principle,0.13624255362650153,single_glm-5.3
affect_acknowledgement,conditional_profile,pressure,0.11657516836921153,single_glm-5.3
affect_acknowledgement,conditional_profile,pythagorean_length,0.12212648887232394,single_glm-5.3
affect_acknowledgement,conditional_profile,rectangular_prism_volume,0.16590188007504658,single_glm-5.3
affect_acknowledgement,conditional_profile,relative_clause_attachment,0.11343757774178127,single_glm-5.3
affect_acknowledgement,conditional_profile,sampling_frame_bias,0.11385338487161929,single_glm-5.3
affect_acknowledgement,conditional_profile,signed_integer_addition,0.15452017744776916,single_glm-5.3
affect_acknowledgement,conditional_profile,triangle_area,0.14358916862582638,single_glm-5.3
affect_acknowledgement,conditional_profile,trophic_energy_transfer,0.08423455721111285,single_glm-5.3
affect_acknowledgement,conditional_profile,turning_moment,0.13189035863620371,single_glm-5.3
affect_acknowledgement,conditional_profile,weighted_graph_path,0.13099725768943798,single_glm-5.3
affect_acknowledgement,context,active_passive_voice,0.19276035610845327,single_glm-5.3
affect_acknowledgement,context,all_different_constraint,0.21247301236382404,single_glm-5.3
affect_acknowledgement,context,apostrophe_possession,0.1716353841761185,single_glm-5.3
affect_acknowledgement,context,binary_place_value,0.20192808816945332,single_glm-5.3
affect_acknowledgement,context,binary_search_interval,0.13728745772371886,single_glm-5.3
affect_acknowledgement,context,boyles_law,0.16420822972033755,single_glm-5.3
affect_acknowledgement,context,chemical_equation_balance,0.15819890499356845,single_glm-5.3
affect_acknowledgement,context,contrast_connective,0.18715454579223995,single_glm-5.3
affect_acknowledgement,context,direct_speech_punctuation,0.1498653018183401,single_glm-5.3
affect_acknowledgement,context,exclusive_or,0.1412593857225352,single_glm-5.3
affect_acknowledgement,context,exponent_product,0.17830063573392624,single_glm-5.3
affect_acknowledgement,context,factorial_counting,0.15644820409775673,single_glm-5.3
affect_acknowledgement,context,figurative_metaphor,0.1438508888246588,single_glm-5.3
affect_acknowledgement,context,half_life,0.09306754311842998,single_glm-5.3
affect_acknowledgement,context,homophone_selection,0.1740075938834824,single_glm-5.3
affect_acknowledgement,context,kinetic_energy,0.1407205744004288,single_glm-5.3
affect_acknowledgement,context,least_common_multiple,0.22657969502544678,single_glm-5.3
affect_acknowledgement,context,loop_accumulation,0.20517844257175238,single_glm-5.3
affect_acknowledgement,context,median,0.20946569066878934,single_glm-5.3
affect_acknowledgement,context,parallel_structure,0.2011484179691482,single_glm-5.3
affect_acknowledgement,context,photosynthesis_inputs,0.23142436776890393,single_glm-5.3
affect_acknowledgement,context,pigeonhole_principle,0.19087539728184771,single_glm-5.3
affect_acknowledgement,context,pressure,0.14749746542032802,single_glm-5.3
affect_acknowledgement,context,pythagorean_length,0.14174693717030307,single_glm-5.3
affect_acknowledgement,context,rectangular_prism_volume,0.18187621808828414,single_glm-5.3
affect_acknowledgement,context,relative_clause_attachment,0.1623844922542883,single_glm-5.3
affect_acknowledgement,context,sampling_frame_bias,0.14428719962093045,single_glm-5.3
affect_acknowledgement,context,signed_integer_addition,0.2208912133192859,single_glm-5.3
affect_acknowledgement,context,triangle_area,0.1892620890466915,single_glm-5.3
