event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,1278,0.9741784037558685,0.9761388286334056,0.9718670076726342
affect_acknowledgement,MiniMax-M3,glm-5.3,1278,0.9593114241001565,0.9632248939179632,0.9544658493870403
affect_acknowledgement,deepseek-v4-pro,glm-5.3,1278,0.9694835680751174,0.9725158562367865,0.9656992084432717
answer_reveal,MiniMax-M3,deepseek-v4-pro,1278,0.9913928012519562,0.9945300845350572,0.9798165137614679
answer_reveal,MiniMax-M3,glm-5.3,1278,0.9953051643192489,0.9970089730807578,0.9890909090909091
answer_reveal,deepseek-v4-pro,glm-5.3,1278,0.9929577464788732,0.9955246146195923,0.9834862385321101
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,1278,0.8192488262910798,0.37057220708446864,0.8944723618090452
epistemic_qualification,MiniMax-M3,glm-5.3,1278,0.9115805946791862,0.5108225108225108,0.9513978494623656
epistemic_qualification,deepseek-v4-pro,glm-5.3,1278,0.8701095461658842,0.6278026905829597,0.9213270142180094
information_request,MiniMax-M3,deepseek-v4-pro,1278,0.9882629107981221,0.21052631578947367,0.9940875049270792
information_request,MiniMax-M3,glm-5.3,1278,0.9968701095461658,0.0,0.9984326018808778
information_request,deepseek-v4-pro,glm-5.3,1278,0.9882629107981221,0.11764705882352941,0.9940921622686096
learner_choice,MiniMax-M3,deepseek-v4-pro,1278,0.9475743348982786,0.8133704735376045,0.9695038689121529
learner_choice,MiniMax-M3,glm-5.3,1278,0.9311424100156495,0.6901408450704225,0.9612676056338029
learner_choice,deepseek-v4-pro,glm-5.3,1278,0.9272300469483568,0.6804123711340206,0.9589403973509933
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,1278,0.94679186228482,0.9158415841584159,0.9610983981693364
reasoning_elicitation,MiniMax-M3,glm-5.3,1278,0.9381846635367762,0.9071680376028202,0.9536656891495601
reasoning_elicitation,deepseek-v4-pro,glm-5.3,1278,0.9428794992175273,0.9158016147635525,0.9567791592658378
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,1278,0.9014084507042254,0.4375,0.9459691252144082
unsupported_ability_claim,MiniMax-M3,glm-5.3,1278,0.9147104851330203,0.2684563758389262,0.9547154133776485
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,1278,0.935054773082942,0.3464566929133858,0.9658295594895019
worked_explanation,MiniMax-M3,deepseek-v4-pro,1278,0.931924882629108,0.9619921363040629,0.6741573033707865
worked_explanation,MiniMax-M3,glm-5.3,1278,0.945226917057903,0.9698015530629853,0.7058823529411765
worked_explanation,deepseek-v4-pro,glm-5.3,1278,0.9475743348982786,0.9711827956989247,0.70995670995671
