axis,surface_control,spearman,exact_two_sided_p,candidate_max_abs_surface_rho
communal_expression,organizational_style,0.028571428571428574,1.0,0.7142857142857143
communal_expression,verbosity,0.7142857142857143,0.13730929264909847,0.7142857142857143
dialogic_engagement,organizational_style,0.08571428571428573,0.9195561719833565,0.7714285714285715
dialogic_engagement,verbosity,0.7714285714285715,0.10402219140083217,0.7714285714285715
directive_expression,organizational_style,0.2571428571428572,0.6588072122052705,0.4285714285714286
directive_expression,verbosity,0.4285714285714286,0.420249653259362,0.4285714285714286
epistemic_caution_language,organizational_style,0.2571428571428572,0.6588072122052705,0.6
epistemic_caution_language,verbosity,0.6,0.24271844660194175,0.6
boundary_refusal_expression,organizational_style,-0.14285714285714288,0.8030513176144244,0.6571428571428573
boundary_refusal_expression,verbosity,-0.6571428571428573,0.17614424410540916,0.6571428571428573
