pool,axis,task_count,icc3_1,median_pairwise_spearman,minimum_pairwise_spearman,task_pairs
non_tutoring,communal_expression,10,0.2688319724560046,0.3714285714285715,-0.8857142857142858,45
non_tutoring,dialogic_engagement,10,0.36401426727298886,0.5428571428571429,-0.6571428571428573,45
non_tutoring,directive_expression,10,0.18923989563971155,0.14285714285714288,-0.7714285714285715,45
non_tutoring,epistemic_caution_language,10,0.2515631260142934,0.14285714285714288,-0.7142857142857143,45
non_tutoring,boundary_refusal_expression,10,-0.014169686381820512,0.08571428571428573,-0.8285714285714287,45
non_tutoring,organizational_style,10,0.6013899620382049,0.7714285714285715,-0.09107651110783746,45
non_tutoring,verbosity,10,0.4417476677075595,0.5428571428571429,-0.7142857142857143,45
default_tutoring,communal_expression,3,0.23869969655502732,0.4285714285714286,0.4285714285714286,3
default_tutoring,dialogic_engagement,3,0.47050102274379196,0.7714285714285715,0.5428571428571429,3
default_tutoring,directive_expression,3,0.7592391543334965,0.6,0.6,3
default_tutoring,epistemic_caution_language,3,0.5909059249441831,0.5428571428571429,0.3714285714285715,3
default_tutoring,boundary_refusal_expression,3,0.41978387522440197,0.5428571428571429,0.48571428571428577,3
default_tutoring,organizational_style,3,0.01181621357300109,0.4394802124588286,0.13093073414159545,3
default_tutoring,verbosity,3,-0.14603674658487978,-0.6571428571428573,-0.6571428571428573,3
prompted_tutoring,communal_expression,3,0.16994612638167111,0.08571428571428573,-0.3714285714285715,3
prompted_tutoring,dialogic_engagement,3,0.688412869876407,0.7714285714285715,0.7142857142857143,3
prompted_tutoring,directive_expression,3,0.6618332674095249,0.8285714285714287,0.7714285714285715,3
prompted_tutoring,epistemic_caution_language,3,0.4391049979211606,0.028571428571428574,-0.028571428571428574,3
prompted_tutoring,boundary_refusal_expression,3,-0.05335021726445989,-0.3478626213914691,-0.5161002296110789,3
prompted_tutoring,organizational_style,3,0.8345024587998694,0.7745966692414834,0.7745966692414834,3
prompted_tutoring,verbosity,3,0.5182205063945275,0.3714285714285715,0.3714285714285715,3
all_baseline,communal_expression,13,0.2863584222442533,0.5142857142857143,-0.8857142857142858,78
all_baseline,dialogic_engagement,13,0.3189276105453527,0.4,-0.8857142857142858,78
all_baseline,directive_expression,13,0.11055122028001554,0.08571428571428573,-0.7714285714285715,78
all_baseline,epistemic_caution_language,13,0.07863215949550806,-0.05714285714285715,-0.942857142857143,78
all_baseline,boundary_refusal_expression,13,-0.019957402806080087,0.08571428571428573,-0.8285714285714287,78
all_baseline,organizational_style,13,0.49215522231311326,0.48571428571428577,-0.39279220242478635,78
all_baseline,verbosity,13,0.36425039986164875,0.48571428571428577,-0.7142857142857143,78
