domain,model,communal_expression,dialogic_engagement,directive_expression,epistemic_caution_language,boundary_refusal_expression,organizational_style,verbosity
default_tutoring,deepseek-v4-pro,0.010814231493674767,0.12577172508825593,-0.1334070055563926,0.15095265046701098,0.04327550374505485,-0.16100550065459757,-0.3665505158722806
default_tutoring,doubao-seed-2.0-pro,0.32768502147221656,0.28976408616056015,-0.026862580330866987,-0.0792568471279271,-0.03697413934908153,-0.04165792628108846,0.40559915788096035
default_tutoring,glm-5.2,-0.005654526770055355,0.2509666929654828,-0.04710397240679054,-0.0013827470055332788,0.015954777096821485,-0.02238663269350852,-0.09467569277562947
default_tutoring,minimax-m2.7,-0.25356065722382554,-0.42792250701766027,0.020441366277214927,-0.015503547825194594,-0.05025189883493092,0.09357883702684199,-0.039581455411629975
default_tutoring,minimax-m3,-0.11014206980391249,-0.13898077668514336,-0.01325156561340321,0.00974742666685823,0.018806189194361802,0.12425087027375527,0.10927195246663808
default_tutoring,qwen3.5-4b,0.030858000831902044,-0.09959922051149532,0.2001837576302384,-0.06455693517521423,0.009189568147774304,0.007220352328597301,-0.01406344628805827
educational_assessment,deepseek-v4-pro,-0.14673924745510758,-0.17658378624023346,-0.02436041148878837,-0.04003910603277005,-0.03075237092178084,-0.18663038067740395,-0.4088137193765178
educational_assessment,doubao-seed-2.0-pro,0.3092899493301278,0.24613998950743068,-0.08024302850269514,0.055459838338536224,0.0015834885555407576,-0.06231186001681806,0.5491301555282211
educational_assessment,glm-5.2,0.17784374190807795,0.20627595209641586,0.09144448696971656,-0.0026954713247149976,-0.0033112708722659173,-0.1557350481570721,-0.3862854443817001
educational_assessment,minimax-m2.7,-0.279871385901085,-0.21721303711735937,-0.04888440102410385,-0.05723564193752857,0.012000096494754173,0.26019595511298554,0.13510228101872634
educational_assessment,minimax-m3,-0.1363945861351649,-0.1354269381522271,0.04788448077268999,-0.005596117461009217,0.021629371921050182,0.1859325848437335,0.02470580622249912
educational_assessment,qwen3.5-4b,0.07587152825315162,0.0768078199059733,0.014158873273180807,0.050106498417486614,-0.0011493151772983753,-0.04145125110542499,0.08616092098877137
general_reasoning,deepseek-v4-pro,-0.11328010870636024,-0.1476143733520111,-0.02503197461744718,-0.01783686954537514,0.009486929500240146,-0.4866379099429192,-0.9144183663040195
general_reasoning,doubao-seed-2.0-pro,0.15502941685885566,0.17691139545009463,-0.0622507908858411,0.0551437801222777,0.00997689050788044,0.4401006010659425,0.7342936139536903
general_reasoning,glm-5.2,0.05596098027220723,0.04454445715651525,0.06692346091858022,0.020725684126223724,-0.010386934095316972,-0.2486837994699834,-0.0011656591147351791
general_reasoning,minimax-m2.7,-0.0741624602265842,-0.1356096049732635,0.031296245456711315,-0.15284016054171132,-0.03325311893264482,-0.19438180095995083,-0.885872395985751
general_reasoning,minimax-m3,-0.10825347860013786,-0.11943547809394665,0.04683870611752816,0.03344347400910533,0.029319270994579965,0.3956118956803198,0.18263386101459558
general_reasoning,qwen3.5-4b,0.08470565040201944,0.18120360381261139,-0.057775646989531415,0.06136409182947972,-0.005143037974738751,0.09399101362659117,0.8845289464362199
instruction_following,deepseek-v4-pro,0.0112221102122016,0.003753796984838099,-0.03917298607722259,0.017697166183778115,-0.01952965049920111,-0.08456655866145858,-0.20781691741774028
instruction_following,doubao-seed-2.0-pro,-0.055278941180782325,-0.043420973858633805,-0.030439321611666296,-0.04910813154070824,-0.07222491329701498,-0.02176062563312786,1.0521732142795157
