left,right,models,spearman,status
adversarial_attack_success,adversarial_boundary_enforcement,6,-1.0,descriptive_only_six_models
adversarial_attack_success,educational_refusal_share,6,0.028571428571428574,descriptive_only_six_models
adversarial_attack_success,sata_incorrect_inclusion,6,-0.48571428571428577,descriptive_only_six_models
adversarial_attack_success,sata_omission,6,0.48571428571428577,descriptive_only_six_models
adversarial_attack_success,sata_perfect_match,6,0.3714285714285715,descriptive_only_six_models
adversarial_attack_success,sata_rfs,6,0.2,descriptive_only_six_models
adversarial_boundary_enforcement,educational_refusal_share,6,-0.028571428571428574,descriptive_only_six_models
adversarial_boundary_enforcement,sata_incorrect_inclusion,6,0.48571428571428577,descriptive_only_six_models
adversarial_boundary_enforcement,sata_omission,6,-0.48571428571428577,descriptive_only_six_models
adversarial_boundary_enforcement,sata_perfect_match,6,-0.3714285714285715,descriptive_only_six_models
adversarial_boundary_enforcement,sata_rfs,6,-0.2,descriptive_only_six_models
educational_refusal_share,sata_incorrect_inclusion,6,-0.08571428571428573,descriptive_only_six_models
educational_refusal_share,sata_omission,6,0.08571428571428573,descriptive_only_six_models
educational_refusal_share,sata_perfect_match,6,0.7714285714285715,descriptive_only_six_models
educational_refusal_share,sata_rfs,6,0.48571428571428577,descriptive_only_six_models
sata_incorrect_inclusion,sata_omission,6,-1.0,descriptive_only_six_models
sata_incorrect_inclusion,sata_perfect_match,6,0.14285714285714288,descriptive_only_six_models
sata_incorrect_inclusion,sata_rfs,6,-0.2571428571428572,descriptive_only_six_models
sata_omission,sata_perfect_match,6,-0.14285714285714288,descriptive_only_six_models
sata_omission,sata_rfs,6,0.2571428571428572,descriptive_only_six_models
sata_perfect_match,sata_rfs,6,0.6,descriptive_only_six_models
