blind_id,event,present,unanimous
057cc0ee14a95dd0ed1c,affect_acknowledgement,0,1
08cf7a67f5201b16e0db,affect_acknowledgement,0,1
0e58106b3dddcb8b9b40,affect_acknowledgement,0,1
123ab30e850aec171348,affect_acknowledgement,0,1
14d0c8a0e56f6f909dba,affect_acknowledgement,0,1
1bba5744e96ddf5777aa,affect_acknowledgement,0,1
1cf56141d68b5b8d284d,affect_acknowledgement,0,1
24f0913b22e3488aa7d9,affect_acknowledgement,0,1
29e493292bf59260b699,affect_acknowledgement,0,1
2e8aba971ea676d6ba79,affect_acknowledgement,0,1
307896dc53cb353d903e,affect_acknowledgement,0,1
35ca960162c0d54ad810,affect_acknowledgement,1,1
4817e7e2abaf30c641a5,affect_acknowledgement,0,1
4e746d30d45e933c1256,affect_acknowledgement,0,1
51d3b223109d315080e8,affect_acknowledgement,0,1
74838bf9fc5b52be8f39,affect_acknowledgement,1,1
78fc696e8d16b3a9e573,affect_acknowledgement,0,1
a52bbeb0d1b4ac696f22,affect_acknowledgement,0,1
a8aacd19e079ded840e8,affect_acknowledgement,0,1
acd2d2ca2db79557b406,affect_acknowledgement,0,1
b7d2a6ff11e475aebddb,affect_acknowledgement,0,1
bab3320226f9aec709db,affect_acknowledgement,0,1
c932bbee58ee0bde20c1,affect_acknowledgement,0,1
cc75a143d13a52081913,affect_acknowledgement,0,1
d07ff5ed47b7e0a499a6,affect_acknowledgement,0,1
d2d5b37c4dc14a29c602,affect_acknowledgement,0,1
d4dd2e236676a7caac27,affect_acknowledgement,0,1
d7bee3298c547b003a25,affect_acknowledgement,1,1
e4fdebe023ea393a2822,affect_acknowledgement,1,1
edc02d8d3924a3b8c1de,affect_acknowledgement,0,1
efdcf9fae4bd50b6ef7e,affect_acknowledgement,0,1
f9a3ab4a6ebfcf8d4c59,affect_acknowledgement,0,1
057cc0ee14a95dd0ed1c,answer_reveal,0,1
08cf7a67f5201b16e0db,answer_reveal,1,1
0e58106b3dddcb8b9b40,answer_reveal,1,1
123ab30e850aec171348,answer_reveal,0,1
14d0c8a0e56f6f909dba,answer_reveal,0,1
1bba5744e96ddf5777aa,answer_reveal,0,1
1cf56141d68b5b8d284d,answer_reveal,1,1
24f0913b22e3488aa7d9,answer_reveal,0,1
29e493292bf59260b699,answer_reveal,0,1
2e8aba971ea676d6ba79,answer_reveal,0,1
307896dc53cb353d903e,answer_reveal,0,1
35ca960162c0d54ad810,answer_reveal,0,1
4817e7e2abaf30c641a5,answer_reveal,1,1
4e746d30d45e933c1256,answer_reveal,0,1
51d3b223109d315080e8,answer_reveal,0,1
74838bf9fc5b52be8f39,answer_reveal,0,1
78fc696e8d16b3a9e573,answer_reveal,0,1
a52bbeb0d1b4ac696f22,answer_reveal,1,1
a8aacd19e079ded840e8,answer_reveal,1,1
acd2d2ca2db79557b406,answer_reveal,0,1
b7d2a6ff11e475aebddb,answer_reveal,0,1
bab3320226f9aec709db,answer_reveal,0,1
c932bbee58ee0bde20c1,answer_reveal,0,1
cc75a143d13a52081913,answer_reveal,1,1
d07ff5ed47b7e0a499a6,answer_reveal,1,1
d2d5b37c4dc14a29c602,answer_reveal,0,1
d4dd2e236676a7caac27,answer_reveal,1,1
d7bee3298c547b003a25,answer_reveal,0,1
