judge,dimension,ratings,mean,sd,floor_fraction,ceiling_fraction,unique_values,normalized_entropy
MiniMax-M3,affective_warmth,2148,2.4315642458100557,1.1084028017882943,0.27886405959031657,0.023277467411545624,5,0.8769153826798921
MiniMax-M3,autonomy_support,2148,2.724860335195531,1.1588041374239542,0.20297951582867785,0.028864059590316574,5,0.910751260346688
MiniMax-M3,cognitive_load,2148,2.3058659217877095,0.9295595985196117,0.19972067039106145,0.015363128491620111,5,0.8171295355686099
MiniMax-M3,diagnostic_specificity,2148,2.62243947858473,1.4222229330490361,0.3426443202979516,0.10800744878957169,5,0.9495161316053082
MiniMax-M3,elicitation,2148,3.5339851024208566,1.609231846477838,0.22625698324022347,0.4301675977653631,5,0.8744897969122899
MiniMax-M3,epistemic_caution,2148,1.4073556797020483,0.700014558328495,0.7094972067039106,0.0004655493482309125,5,0.5105292061618764
MiniMax-M3,help_directness,2148,2.85707635009311,1.3911670073055051,0.2048417132216015,0.2048417132216015,5,0.9659366060871033
MiniMax-M3,personalization,2148,2.5623836126629422,1.011719178634439,0.22672253258845437,0.01303538175046555,5,0.7856304937381096
deepseek-v4-pro,affective_warmth,2148,2.6364059590316575,1.4488538226622707,0.35661080074487894,0.1713221601489758,5,0.853879781822387
deepseek-v4-pro,autonomy_support,2148,2.0083798882681565,1.4795076251423525,0.6345437616387337,0.14013035381750466,5,0.6791449287899722
deepseek-v4-pro,cognitive_load,2148,2.0335195530726256,1.1777710286750955,0.4995344506517691,0.04795158286778398,5,0.7448542261192713
deepseek-v4-pro,diagnostic_specificity,2148,2.6992551210428304,1.8532922550384512,0.5107076350093109,0.361731843575419,5,0.6669427788758538
deepseek-v4-pro,elicitation,2148,3.5446927374301676,1.7332209036207704,0.2742085661080074,0.5409683426443203,5,0.6971161727989971
deepseek-v4-pro,epistemic_caution,2148,1.2639664804469273,0.7777549117730175,0.8812849162011173,0.01722532588454376,5,0.3017328255880043
deepseek-v4-pro,help_directness,2148,2.7211359404096833,1.5911124828569074,0.39664804469273746,0.2462756052141527,5,0.7576561653257616
deepseek-v4-pro,personalization,2148,2.552607076350093,1.133758149727194,0.29655493482309125,0.07029795158286778,5,0.5782919697596653
glm-5.2,affective_warmth,2148,2.522346368715084,1.1809962050969065,0.2849162011173184,0.040502793296089384,5,0.8962373329925094
glm-5.2,autonomy_support,2148,2.4338919925512106,1.1252172690966447,0.287243947858473,0.019553072625698324,5,0.88048406449476
glm-5.2,cognitive_load,2148,2.27048417132216,0.9199447134584864,0.24394785847299813,0.009776536312849162,5,0.7907383884962718
glm-5.2,diagnostic_specificity,2148,2.8268156424581004,1.5393013087387806,0.340316573556797,0.1857541899441341,5,0.9441321776044085
glm-5.2,elicitation,2148,3.478584729981378,1.6261387497719386,0.2351024208566108,0.4278398510242086,5,0.8824232848049859
glm-5.2,epistemic_caution,2148,1.5940409683426444,0.8711183452929645,0.6378026070763501,0.0032588454376163874,5,0.6074129818874475
glm-5.2,help_directness,2148,2.7858472998137804,1.4473197726033757,0.260707635009311,0.2122905027932961,5,0.9475454023639405
glm-5.2,personalization,2148,2.6731843575418996,0.9048224356898723,0.18901303538175046,0.013500931098696461,5,0.5969361738129216
