judge,dimension,ratings,mean,sd,floor_fraction,ceiling_fraction,unique_values,normalized_entropy
MiniMax-M3,affective_warmth,1920,2.4,1.1237956516496523,0.2994791666666667,0.024479166666666666,5,0.874649786861441
MiniMax-M3,autonomy_support,1920,2.693229166666667,1.1708953080795221,0.21614583333333334,0.0265625,5,0.9098321165370512
MiniMax-M3,cognitive_load,1920,2.220833333333333,0.9135458238217841,0.22552083333333334,0.0125,5,0.8029260513918597
MiniMax-M3,diagnostic_specificity,1920,2.5963541666666665,1.4581263804048807,0.371875,0.11458333333333333,5,0.9346488027620757
MiniMax-M3,elicitation,1920,3.5734375,1.6484913103381578,0.240625,0.465625,5,0.8322974909046782
MiniMax-M3,epistemic_caution,1920,1.3572916666666666,0.6680576309450323,0.7447916666666666,0.0005208333333333333,5,0.4716586917649956
MiniMax-M3,help_directness,1920,2.8140625,1.4322586170429383,0.22760416666666666,0.2140625,5,0.9652124569575822
MiniMax-M3,personalization,1920,2.503645833333333,0.966623870954626,0.23125,0.0078125,5,0.7431591921849396
glm-5.2,affective_warmth,510,2.9862745098039216,0.8504945753404798,0.047058823529411764,0.029411764705882353,5,0.774101466335728
glm-5.2,autonomy_support,510,3.315686274509804,0.8046123287742566,0.023529411764705882,0.047058823529411764,5,0.7355004570767948
glm-5.2,cognitive_load,510,1.5686274509803921,0.6904077215613551,0.5431372549019607,0.0,4,0.5939564602326199
glm-5.2,diagnostic_specificity,510,3.1980392156862747,1.3008278203013546,0.16666666666666666,0.16666666666666666,5,0.957718873938654
glm-5.2,elicitation,510,4.298039215686274,0.9504364727104113,0.025490196078431372,0.5431372549019607,5,0.7014428845496401
glm-5.2,epistemic_caution,510,1.9019607843137254,0.9404817697576299,0.44313725490196076,0.00392156862745098,5,0.7525596384656683
glm-5.2,help_directness,510,2.2215686274509805,1.040326819970098,0.28823529411764703,0.043137254901960784,5,0.8353191471950993
glm-5.2,personalization,510,2.958823529411765,0.28743385980098496,0.00784313725490196,0.0,4,0.17570826860117864
