source_family,domain,arm,event,baseline,brier
active_passive_voice,language,canonical,affect_acknowledgement,conditional_profile,0.17674253358344727
active_passive_voice,language,canonical,affect_acknowledgement,context,0.22344409216016206
active_passive_voice,language,canonical,affect_acknowledgement,default_profile,0.18763280930126863
active_passive_voice,language,canonical,affect_acknowledgement,domain_profile,0.20214536507454164
active_passive_voice,language,canonical,answer_reveal,conditional_profile,0.06255885182274308
active_passive_voice,language,canonical,answer_reveal,context,0.14163592743670866
active_passive_voice,language,canonical,answer_reveal,default_profile,0.06347792540225805
active_passive_voice,language,canonical,answer_reveal,domain_profile,0.06101030240710126
active_passive_voice,language,canonical,reasoning_elicitation,conditional_profile,0.07764472100269576
active_passive_voice,language,canonical,reasoning_elicitation,context,0.22259432572548019
active_passive_voice,language,canonical,reasoning_elicitation,default_profile,0.08090473889385799
active_passive_voice,language,canonical,reasoning_elicitation,domain_profile,0.08040766984175737
active_passive_voice,language,explicit,affect_acknowledgement,conditional_profile,0.13598360060156914
active_passive_voice,language,explicit,affect_acknowledgement,context,0.15565632869625717
active_passive_voice,language,explicit,affect_acknowledgement,default_profile,0.14330402206341136
active_passive_voice,language,explicit,affect_acknowledgement,domain_profile,0.1308574973764085
active_passive_voice,language,explicit,answer_reveal,conditional_profile,0.05020957252068362
active_passive_voice,language,explicit,answer_reveal,context,0.18821104796270796
active_passive_voice,language,explicit,answer_reveal,default_profile,0.04540023812961684
active_passive_voice,language,explicit,answer_reveal,domain_profile,0.0496775473769309
active_passive_voice,language,explicit,reasoning_elicitation,conditional_profile,0.05324744363745167
active_passive_voice,language,explicit,reasoning_elicitation,context,0.22994510174491353
active_passive_voice,language,explicit,reasoning_elicitation,default_profile,0.053353373302381726
active_passive_voice,language,explicit,reasoning_elicitation,domain_profile,0.05458333852167242
active_passive_voice,language,implicit,affect_acknowledgement,conditional_profile,0.22588670238306235
active_passive_voice,language,implicit,affect_acknowledgement,context,0.23192368787738013
active_passive_voice,language,implicit,affect_acknowledgement,default_profile,0.21375665998769416
active_passive_voice,language,implicit,affect_acknowledgement,domain_profile,0.2115209003907637
active_passive_voice,language,implicit,answer_reveal,conditional_profile,0.05222259359080411
active_passive_voice,language,implicit,answer_reveal,context,0.1141283039613252
active_passive_voice,language,implicit,answer_reveal,default_profile,0.054762333636935764
active_passive_voice,language,implicit,answer_reveal,domain_profile,0.052925788123509676
active_passive_voice,language,implicit,reasoning_elicitation,conditional_profile,0.07479991049636944
active_passive_voice,language,implicit,reasoning_elicitation,context,0.22306534336521597
active_passive_voice,language,implicit,reasoning_elicitation,default_profile,0.07189969673867966
active_passive_voice,language,implicit,reasoning_elicitation,domain_profile,0.0731261078854871
active_passive_voice,language,peer_control,affect_acknowledgement,conditional_profile,0.22582286378396335
active_passive_voice,language,peer_control,affect_acknowledgement,context,0.24316821431220675
active_passive_voice,language,peer_control,affect_acknowledgement,default_profile,0.2452039369841467
active_passive_voice,language,peer_control,affect_acknowledgement,domain_profile,0.23515889129206782
active_passive_voice,language,peer_control,answer_reveal,conditional_profile,0.08527954023324533
active_passive_voice,language,peer_control,answer_reveal,context,0.11416995527144333
active_passive_voice,language,peer_control,answer_reveal,default_profile,0.08313098721455985
active_passive_voice,language,peer_control,answer_reveal,domain_profile,0.07991087420266593
active_passive_voice,language,peer_control,reasoning_elicitation,conditional_profile,0.11182021025522329
active_passive_voice,language,peer_control,reasoning_elicitation,context,0.20545104223474198
active_passive_voice,language,peer_control,reasoning_elicitation,default_profile,0.11129175127052186
