benchmark,family,prompt_arm,item_id,model,response_sha256,log_chars,log_tokens,line_count,sentence_count,mean_sentence_tokens,question_rate,ends_question,exactly_one_question,markdown_heading_rate,bullet_rate,numbered_step_rate,latex_rate,emoji_rate,table_present,second_person_rate,first_plural_rate,praise_rate,encouragement_rate,hedge_rate,imperative_rate,history_reference_rate,answer_reveal_rate,explanation_rate,diagnosis_rate,outcome_primary,history_utilization,strategy_alignment,coherence,appropriateness
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,minimax-m3,7cf3bf6469e57fdc1f06fe491d332f80ad1668472141ed5aeffaf3a2640b23f1,5.545177444479562,3.8712010109078907,1.0,2.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,2.127659574468085,0.0,0.0,2.127659574468085,0.0,0.0,2.127659574468085,0.0,0.0,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,minimax-m2.7,220b6e69cf17ddb08bb3385ac25a3bf08ffe50eb756f06d8e1c8d349ab2c7dd4,5.5254529391317835,3.8918202981106265,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,glm-5.2,40518e4c288b3123452da406d8d7dc83be69712fcb668d7fe7a8e0ebd0e4e5d2,5.91350300563827,4.23410650459726,1.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.411764705882353,0.0,0.0,0.0,0.0,1.4705882352941178,0.0,0.0,0.0,0.0,0.0,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,deepseek-v4-pro,2c155acd6682d577ffc950a97563e3a92d2bb574754cdd403c4cc57c92254a22,5.2574953720277815,3.58351893845611,1.0,2.0,17.5,2.857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,doubao-seed-2.0-pro,88a6fd0facac13243deaa1912a50f6a85665ab58de3dc5f062b7040919df967d,6.016157159698354,4.343805421853684,1.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3157894736842106,1.3157894736842106,2.6315789473684212,0.0,0.0,1.3157894736842106,0.0,0.0,1.3157894736842106,1.3157894736842106,0.0,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,qwen3.5-4b,e4b27b3e03f6ba1800a26bce948d72059ffb61479e3e4575bb4cd2c330f092d4,5.3230099791384085,3.6375861597263857,1.0,2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405405,0.0,2.7027027027027026,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,doubao-seed-2.0-lite,d943a7880aa3aa37804241929cae79895a3966edc8b68b59e5d4b4633d4e5a06,5.771441123130016,4.060443010546419,1.0,2.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.771929824561404,0.0,1.7543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,deepseek-v4-flash,bb8a6651412b1d33d46d4b5cd23ed28800e376c80e4dab93e908d14e5da210d5,5.5909869805108565,3.9318256327243257,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-0,qwen3.8-27b,6b34a3a4df2bb65a418353e5ae2a5a4a1caed0d17360993887db51480fe89a13,5.5254529391317835,3.828641396489095,1.0,2.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,2.2222222222222223,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,,,,,
mathtutorbench_scaffolding,mathdial_bridge,generic_caring_teacher,scaffolding-1,minimax-m3,cf1bc0ce2943f8381b9f851f3e5b0c11666928861558162315ded17dc126ee0d,5.631211781821365,3.9889840465642745,1.0,3.0,17.666666666666668,1.8867924528301887,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.547169811320755,0.0,1.8867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
