task,source_row_index,group_kind,group_sha256
mathdial_standard,0,problem,29dd5789f5a24084d6889c382aa801d373ae3de318d72151e41183a4d9aa3789
mathdial_standard,1,problem,687320572dd3b35a66952b0dc1f69fdffa4c1bc2ba2f512bcb7db9c8b3ac1b43
mathdial_standard,2,problem,b2b4e07cdc0e810fabff1736c463fad888eca7b30625bf5fcc58a46aa8753290
mathdial_standard,3,problem,5a11067b142d5da03bb02b89584361b25f4b0c969d00b8ae3955f403db501b60
mathdial_standard,4,problem,cc5dd183a835256720229845a46a25712811ac792b7008df60b5bdc9e57724c6
mathdial_standard,5,problem,e23944e76bbf9da3557de8acfc96e808d9ebb7cae220df113783f472b49685b0
mathdial_standard,6,problem,451145e424dca80ea75acfd301826357ac870819b257765c37bd797ffbcbd813
mathdial_standard,7,problem,88b62ac67951245e4cd75ff16e2afd2651e48fe4ace4790c484b8c7735141f88
mathdial_standard,8,problem,edc55e8f01e60882fa26cf4a81c64dc0c403fc596ca0b3e87c78f35c1431b73e
mathdial_standard,9,problem,56ccf329cf75ed06a0fc1e5092abf6afd150339e97b151d02333046af9db99f3
mathdial_standard,10,problem,edba8d11650360c882d6c738540dc65ae781b55401e2bc31af17b1a42e3aafc1
mathdial_standard,11,problem,f61df51d7ddc83ba7be3bacf2791cb53a27a0d41419766e18052e8f7b505df87
mathdial_standard,12,problem,d82ab2878c4a1f1dfb9a0551f79d7212fcd14e4380eadb7ff75b124827f62e31
mathdial_standard,13,problem,939f7ae74a128cfd47658079ebaddf1c0951432ad598f6beeca3a6dd6c32ad02
mathdial_standard,14,problem,74e0510835f039b8fa420bda369688ef5925e8fe7de2af207c4b6964cbf51ae0
mathdial_standard,15,problem,42067bfd72949ab2fef8541b762be76aa254773387d56e39f9a6425730437a9d
mathdial_standard,16,problem,afeb31ea85565f9af064df6a996ee297d5e3087dafc928c82e7208cc6148e140
mathdial_standard,17,problem,d5ae159d36f5e473b5fb03503c2fadf270abe253922dcdef696e1946f37cea3e
mathdial_standard,18,problem,6109c80e2b01934f632d37835395a4d66f25fa3b2541797e6b168fe2908ccdc3
mathdial_standard,19,problem,c25c87b044afa71f6f47991c8d2718df02e4a6c7f53145c7bd7f997ecdfbd399
mathdial_standard,20,problem,57e72b6eaa78d32348200744ab291cc5686c2eb167e376bac565013690d2f543
mathdial_standard,21,problem,3eedef67aa9995103c8d8536a13de8b5aa85098ee62d520c7809e66b33bbd382
mathdial_standard,22,problem,1e5f7035f1f643ee13d782066dc9a739fc3234535a067a0fd4b2171606f25761
mathdial_standard,23,problem,dc2f3d699ddb3d35461ef1cc43b8f5db47c25d4247137e06d076544103de9486
mathdial_standard,24,problem,7050085632e8cff3100e21f21bed4b6b1f4672d6a86ef9ab01cd542593f29a40
mathdial_standard,25,problem,c5cc149b02ce21669e2847d1383246ac71e55eb603d6618c593dfba8b5c1dc41
mathdial_standard,26,problem,939ec15487d3b83e98efca3bcd192c250a5257cf2af6e060f31d45bdec069ae3
mathdial_standard,27,problem,3c808ab984b3b63bf3ac040d5ea68ed7e4fba9a601dc8b7ce476b7d8968ee991
mathdial_standard,28,problem,017def44d280bd29f7691dc3fd3e1b8dbcc9c8a358a7a234a1af79db679fcbdb
