new_dimension,old_dimension,responses,spearman
information_structure,affective_warmth,180,-0.14405363933515036
information_structure,autonomy_support,180,0.13315307211502045
information_structure,cognitive_load,180,0.33749625686496926
information_structure,diagnostic_specificity,180,0.3148457602751065
information_structure,elicitation,180,0.20728998399865056
information_structure,epistemic_caution,180,0.0012943749571642821
information_structure,help_directness,180,0.07614658661390351
information_structure,personalization,180,0.1445149800286538
instructional_agency,affective_warmth,180,0.09105092515553054
instructional_agency,autonomy_support,180,-0.7027590399180782
instructional_agency,cognitive_load,180,0.3681611022471201
instructional_agency,diagnostic_specificity,180,0.18586221748057008
instructional_agency,elicitation,180,-0.6890421708851366
instructional_agency,epistemic_caution,180,-0.21654452581731268
instructional_agency,help_directness,180,0.7179909123283085
instructional_agency,personalization,180,-0.04013765451847929
learner_contingency,affective_warmth,180,0.10580882337176818
learner_contingency,autonomy_support,180,0.09499964053980102
learner_contingency,cognitive_load,180,0.3152659398589834
learner_contingency,diagnostic_specificity,180,0.5209933231658728
learner_contingency,elicitation,180,0.15049266214191068
learner_contingency,epistemic_caution,180,0.15127283592091367
learner_contingency,help_directness,180,0.06295087557303883
learner_contingency,personalization,180,0.5258614316178751
relational_communion,affective_warmth,180,0.8405274589414973
relational_communion,autonomy_support,180,-0.09159265172097218
relational_communion,cognitive_load,180,-0.08919351209817705
relational_communion,diagnostic_specificity,180,-0.14938274280703903
relational_communion,elicitation,180,-0.1947680351064266
relational_communion,epistemic_caution,180,-0.28928186063795863
relational_communion,help_directness,180,0.08183091671074677
relational_communion,personalization,180,0.183445463088833
