selector,model,selector_accuracy,single_pass_match,composed_match,composed_minus_single_pass,context_bootstrap_ci_low,context_bootstrap_ci_high
selector_ask_first,MiniMax-M2.7,0.4583333333333333,0.5416666666666666,0.4583333333333333,-0.08333333333333333,-0.20833333333333334,0.041666666666666664
selector_ask_first,MiniMax-M3,0.5729166666666666,0.5208333333333334,0.5729166666666666,0.052083333333333336,-0.08333333333333333,0.17708333333333334
selector_ask_first,deepseek-v4-pro,0.5,0.65625,0.5,-0.15625,-0.2604166666666667,-0.052083333333333336
selector_ask_first,doubao-seed-2.0-lite,0.5,0.5625,0.5,-0.0625,-0.125,-0.010416666666666666
selector_ask_first,glm-5.2,0.5625,0.6041666666666666,0.5625,-0.041666666666666664,-0.16666666666666666,0.07291666666666667
selector_explain_first,MiniMax-M2.7,0.3020833333333333,0.5416666666666666,0.3020833333333333,-0.23958333333333334,-0.3645833333333333,-0.11458333333333333
selector_explain_first,MiniMax-M3,0.5625,0.5208333333333334,0.5625,0.041666666666666664,-0.09375,0.16666666666666666
selector_explain_first,deepseek-v4-pro,0.53125,0.65625,0.53125,-0.125,-0.22916666666666666,-0.020833333333333332
selector_explain_first,doubao-seed-2.0-lite,0.53125,0.5625,0.53125,-0.03125,-0.09375,0.03125
selector_explain_first,glm-5.2,0.5729166666666666,0.6041666666666666,0.5729166666666666,-0.03125,-0.14583333333333334,0.08333333333333333
